stage_event_id,application_id,stage_code,stage_sequence_number,stage_entry_date,stage_exit_date,exit_reason,updated_at,extracted_at
STG-00000043,APP-0000021,review,1,2024-01-03,2024-01-20,withdrawn,2024-01-20T09:10:36Z,2026-05-31T23:59:59Z
STG-00000044,APP-0000022,review,1,2024-01-03,2024-01-05,,2024-01-05T16:28:31Z,2026-05-31T23:59:59Z
STG-00000045,APP-0000022,screen,2,2024-01-05,2024-01-07,,2024-01-07T08:48:57Z,2026-05-31T23:59:59Z
STG-00000046,APP-0000022,assessment,3,2024-01-07,2024-01-12,rejected,2024-01-12T14:15:31Z,2026-05-31T23:59:59Z
STG-00000047,APP-0000023,review,1,2024-01-03,2024-01-05,,2024-01-05T09:11:49Z,2026-05-31T23:59:59Z
STG-00000048,APP-0000023,screen,2,2024-01-05,2024-01-17,,2024-01-17T12:08:36Z,2026-05-31T23:59:59Z
STG-00000049,APP-0000023,assessment,3,2024-01-17,2024-01-19,,2024-01-19T13:58:42Z,2026-05-31T23:59:59Z
STG-00000050,APP-0000023,interview,4,2024-01-19,2024-02-16,rejected,2024-02-16T19:18:15Z,2026-05-31T23:59:59Z
STG-00000051,APP-0000024,review,1,2024-01-03,2024-01-07,,2024-01-07T08:22:57Z,2026-05-31T23:59:59Z
STG-00000052,APP-0000024,screen,2,2024-01-07,2024-01-12,,2024-01-12T08:51:39Z,2026-05-31T23:59:59Z
STG-00000053,APP-0000024,assessment,3,2024-01-12,2024-01-16,rejected,2024-01-16T16:06:37Z,2026-05-31T23:59:59Z
STG-00000054,APP-0000025,review,1,2024-01-03,2024-01-05,,2024-01-05T16:25:18Z,2026-05-31T23:59:59Z
STG-00000055,APP-0000025,screen,2,2024-01-05,2024-01-13,withdrawn,2024-01-13T16:11:36Z,2026-05-31T23:59:59Z
STG-00000056,APP-0000026,review,1,2024-01-03,2024-01-06,withdrawn,2024-01-06T08:01:06Z,2026-05-31T23:59:59Z
STG-00000057,APP-0000027,review,1,2024-01-03,2024-01-10,,2024-01-10T09:07:32Z,2026-05-31T23:59:59Z
STG-00000058,APP-0000027,screen,2,2024-01-10,2024-01-12,,2024-01-12T16:00:05Z,2026-05-31T23:59:59Z
STG-00000059,APP-0000027,assessment,3,2024-01-12,2024-01-21,rejected,2024-01-21T09:33:07Z,2026-05-31T23:59:59Z
STG-00000060,APP-0000028,review,1,2024-01-03,2024-01-07,rejected,2024-01-07T19:13:56Z,2026-05-31T23:59:59Z
STG-00000061,APP-0000029,review,1,2024-01-03,2024-01-05,,2024-01-05T12:06:58Z,2026-05-31T23:59:59Z
STG-00000062,APP-0000029,screen,2,2024-01-05,2024-01-09,,2024-01-09T11:17:44Z,2026-05-31T23:59:59Z
STG-00000063,APP-0000029,assessment,3,2024-01-09,2024-01-15,rejected,2024-01-15T11:41:02Z,2026-05-31T23:59:59Z
STG-00000064,APP-0000030,review,1,2024-01-03,2024-01-07,rejected,2024-01-07T14:52:29Z,2026-05-31T23:59:59Z
STG-00000065,APP-0000031,review,1,2024-01-03,2024-01-04,,2024-01-04T18:29:15Z,2026-05-31T23:59:59Z
STG-00000066,APP-0000031,screen,2,2024-01-04,2024-01-08,,2024-01-08T14:17:37Z,2026-05-31T23:59:59Z
STG-00000067,APP-0000031,assessment,3,2024-01-08,2024-01-10,,2024-01-10T11:26:15Z,2026-05-31T23:59:59Z
STG-00000068,APP-0000031,interview,4,2024-01-10,2024-01-14,rejected,2024-01-14T15:00:22Z,2026-05-31T23:59:59Z
STG-00000069,APP-0000032,review,1,2024-01-03,2024-01-04,rejected,2024-01-04T14:28:32Z,2026-05-31T23:59:59Z
STG-00000070,APP-0000033,review,1,2024-01-03,2024-01-06,,2024-01-06T19:04:21Z,2026-05-31T23:59:59Z
STG-00000071,APP-0000033,screen,2,2024-01-06,2024-01-08,,2024-01-08T11:58:27Z,2026-05-31T23:59:59Z
STG-00000072,APP-0000033,assessment,3,2024-01-08,2024-01-21,,2024-01-21T10:13:45Z,2026-05-31T23:59:59Z
STG-00000073,APP-0000033,interview,4,2024-01-21,2024-01-24,rejected,2024-01-24T11:53:51Z,2026-05-31T23:59:59Z
STG-00000074,APP-0000034,review,1,2024-01-03,2024-01-09,,2024-01-09T09:43:08Z,2026-05-31T23:59:59Z
STG-00000075,APP-0000034,screen,2,2024-01-09,2024-01-11,rejected,2024-01-11T17:52:58Z,2026-05-31T23:59:59Z
STG-00000076,APP-0000035,review,1,2024-01-03,2024-01-13,rejected,2024-01-13T13:41:20Z,2026-05-31T23:59:59Z
STG-00000077,APP-0000036,review,1,2024-01-03,2024-01-06,,2024-01-06T16:38:46Z,2026-05-31T23:59:59Z
STG-00000078,APP-0000036,screen,2,2024-01-06,2024-01-07,withdrawn,2024-01-07T16:28:55Z,2026-05-31T23:59:59Z
STG-00000079,APP-0000037,review,1,2024-01-03,2024-01-05,withdrawn,2024-01-05T13:30:57Z,2026-05-31T23:59:59Z
STG-00000080,APP-0000038,review,1,2024-01-03,2024-01-06,,2024-01-06T10:01:30Z,2026-05-31T23:59:59Z
STG-00000081,APP-0000038,screen,2,2024-01-06,2024-01-10,,2024-01-10T19:18:04Z,2026-05-31T23:59:59Z
STG-00000082,APP-0000038,assessment,3,2024-01-10,2024-01-18,withdrawn,2024-01-18T08:47:18Z,2026-05-31T23:59:59Z
STG-00000083,APP-0000039,review,1,2024-01-03,2024-01-06,rejected,2024-01-06T16:07:28Z,2026-05-31T23:59:59Z
STG-00000084,APP-0000040,review,1,2024-01-03,2024-01-07,rejected,2024-01-07T11:59:31Z,2026-05-31T23:59:59Z
STG-00000085,APP-0000041,review,1,2024-01-03,2024-01-06,,2024-01-06T08:28:37Z,2026-05-31T23:59:59Z
STG-00000086,APP-0000041,screen,2,2024-01-06,2024-01-10,,2024-01-10T19:25:03Z,2026-05-31T23:59:59Z
STG-00000087,APP-0000041,assessment,3,2024-01-10,2024-01-17,rejected,2024-01-17T09:23:37Z,2026-05-31T23:59:59Z
STG-00000088,APP-0000042,review,1,2024-01-03,2024-01-07,,2024-01-07T08:26:48Z,2026-05-31T23:59:59Z
STG-00000089,APP-0000042,screen,2,2024-01-07,2024-01-12,,2024-01-12T11:09:18Z,2026-05-31T23:59:59Z
STG-00000090,APP-0000042,assessment,3,2024-01-12,2024-01-16,rejected,2024-01-16T11:17:15Z,2026-05-31T23:59:59Z
STG-00000091,APP-0000043,review,1,2024-01-03,2024-01-10,,2024-01-10T10:38:37Z,2026-05-31T23:59:59Z
STG-00000092,APP-0000043,screen,2,2024-01-10,2024-01-13,,2024-01-13T17:29:59Z,2026-05-31T23:59:59Z
STG-00000093,APP-0000043,assessment,3,2024-01-13,2024-01-16,rejected,2024-01-16T13:39:13Z,2026-05-31T23:59:59Z
STG-00000094,APP-0000044,review,1,2024-01-03,2024-01-09,,2024-01-09T19:26:26Z,2026-05-31T23:59:59Z
STG-00000095,APP-0000044,screen,2,2024-01-09,2024-01-14,,2024-01-14T12:10:28Z,2026-05-31T23:59:59Z
STG-00000096,APP-0000044,assessment,3,2024-01-14,2024-01-20,,2024-01-20T15:46:22Z,2026-05-31T23:59:59Z
STG-00000097,APP-0000044,interview,4,2024-01-20,2024-02-18,,2024-02-18T12:44:08Z,2026-05-31T23:59:59Z
STG-00000098,APP-0000044,offer,5,2024-02-18,2024-02-20,,2024-02-20T15:42:01Z,2026-05-31T23:59:59Z
STG-00000099,APP-0000045,review,1,2024-01-03,2024-01-04,rejected,2024-01-04T10:56:31Z,2026-05-31T23:59:59Z
STG-00000100,APP-0000046,review,1,2024-01-03,2024-01-09,rejected,2024-01-09T10:33:41Z,2026-05-31T23:59:59Z
STG-00000101,APP-0000047,review,1,2024-01-03,2024-01-08,,2024-01-08T14:09:23Z,2026-05-31T23:59:59Z
STG-00000102,APP-0000047,screen,2,2024-01-08,2024-01-14,rejected,2024-01-14T16:59:21Z,2026-05-31T23:59:59Z
STG-00000103,APP-0000048,review,1,2024-01-03,2024-01-05,,2024-01-05T11:51:27Z,2026-05-31T23:59:59Z
STG-00000104,APP-0000048,screen,2,2024-01-05,2024-01-10,,2024-01-10T09:37:32Z,2026-05-31T23:59:59Z
STG-00000105,APP-0000048,assessment,3,2024-01-10,2024-01-17,rejected,2024-01-17T18:34:50Z,2026-05-31T23:59:59Z
STG-00000106,APP-0000049,review,1,2024-01-03,2024-01-08,rejected,2024-01-08T11:57:36Z,2026-05-31T23:59:59Z
STG-00000107,APP-0000050,review,1,2024-01-03,2024-01-05,,2024-01-05T19:37:10Z,2026-05-31T23:59:59Z
STG-00000108,APP-0000050,screen,2,2024-01-05,2024-01-09,,2024-01-09T08:47:51Z,2026-05-31T23:59:59Z
STG-00000109,APP-0000050,assessment,3,2024-01-09,2024-01-14,,2024-01-14T08:15:29Z,2026-05-31T23:59:59Z
STG-00000110,APP-0000050,interview,4,2024-01-14,2024-01-19,,2024-01-19T16:35:16Z,2026-05-31T23:59:59Z
STG-00000111,APP-0000050,offer,5,2024-01-19,2024-01-22,,2024-01-22T15:10:10Z,2026-05-31T23:59:59Z
STG-00000112,APP-0000051,review,1,2024-01-03,2024-01-04,rejected,2024-01-04T15:51:04Z,2026-05-31T23:59:59Z
STG-00000113,APP-0000052,review,1,2024-01-03,2024-01-07,,2024-01-07T18:58:06Z,2026-05-31T23:59:59Z
STG-00000114,APP-0000052,screen,2,2024-01-07,2024-01-16,,2024-01-16T09:27:57Z,2026-05-31T23:59:59Z
STG-00000115,APP-0000052,assessment,3,2024-01-16,2024-01-18,,2024-01-18T19:14:19Z,2026-05-31T23:59:59Z
STG-00000116,APP-0000052,interview,4,2024-01-18,2024-01-28,,2024-01-28T11:10:41Z,2026-05-31T23:59:59Z
STG-00000117,APP-0000052,offer,5,2024-01-28,2024-02-02,,2024-02-02T08:55:03Z,2026-05-31T23:59:59Z
STG-00000118,APP-0000053,review,1,2024-01-04,2024-01-07,rejected,2024-01-07T08:49:58Z,2026-05-31T23:59:59Z
STG-00000119,APP-0000054,review,1,2024-01-04,2024-01-08,,2024-01-08T12:49:36Z,2026-05-31T23:59:59Z
STG-00000120,APP-0000054,screen,2,2024-01-08,2024-01-11,,2024-01-11T09:14:47Z,2026-05-31T23:59:59Z
STG-00000121,APP-0000054,assessment,3,2024-01-11,2024-01-19,,2024-01-19T18:18:57Z,2026-05-31T23:59:59Z
STG-00000122,APP-0000054,interview,4,2024-01-19,2024-01-24,rejected,2024-01-24T17:18:35Z,2026-05-31T23:59:59Z
STG-00000123,APP-0000055,review,1,2024-01-04,2024-01-09,rejected,2024-01-09T08:10:37Z,2026-05-31T23:59:59Z
STG-00000124,APP-0000056,review,1,2024-01-04,2024-01-08,,2024-01-08T19:16:46Z,2026-05-31T23:59:59Z
STG-00000125,APP-0000056,screen,2,2024-01-08,2024-01-11,,2024-01-11T19:44:08Z,2026-05-31T23:59:59Z
STG-00000126,APP-0000056,assessment,3,2024-01-11,2024-01-14,,2024-01-14T15:28:50Z,2026-05-31T23:59:59Z
STG-00000127,APP-0000056,interview,4,2024-01-14,2024-01-17,,2024-01-17T09:06:44Z,2026-05-31T23:59:59Z
STG-00000128,APP-0000056,offer,5,2024-01-17,2024-01-18,,2024-01-18T19:06:29Z,2026-05-31T23:59:59Z
STG-00000129,APP-0000057,review,1,2024-01-04,2024-01-06,,2024-01-06T11:42:27Z,2026-05-31T23:59:59Z
STG-00000130,APP-0000057,screen,2,2024-01-06,2024-01-11,,2024-01-11T08:54:30Z,2026-05-31T23:59:59Z
STG-00000131,APP-0000057,assessment,3,2024-01-11,2024-01-23,,2024-01-23T12:36:32Z,2026-05-31T23:59:59Z
STG-00000132,APP-0000057,interview,4,2024-01-23,2024-02-05,rejected,2024-02-05T11:04:10Z,2026-05-31T23:59:59Z
STG-00000133,APP-0000058,review,1,2024-01-04,2024-01-07,,2024-01-07T19:18:20Z,2026-05-31T23:59:59Z
STG-00000134,APP-0000058,screen,2,2024-01-07,2024-01-10,rejected,2024-01-10T12:45:19Z,2026-05-31T23:59:59Z
STG-00000135,APP-0000059,review,1,2024-01-04,2024-01-07,rejected,2024-01-07T13:40:25Z,2026-05-31T23:59:59Z
STG-00000136,APP-0000060,review,1,2024-01-04,2024-01-06,rejected,2024-01-06T09:35:47Z,2026-05-31T23:59:59Z
STG-00000137,APP-0000061,review,1,2024-01-04,2024-01-25,rejected,2024-01-25T14:25:41Z,2026-05-31T23:59:59Z
STG-00000138,APP-0000062,review,1,2024-01-04,2024-01-05,,2024-01-05T12:13:40Z,2026-05-31T23:59:59Z
STG-00000139,APP-0000062,screen,2,2024-01-05,2024-01-07,,2024-01-07T12:16:34Z,2026-05-31T23:59:59Z
STG-00000140,APP-0000062,assessment,3,2024-01-07,2024-01-10,,2024-01-10T09:57:21Z,2026-05-31T23:59:59Z
STG-00000141,APP-0000062,interview,4,2024-01-10,2024-01-13,rejected,2024-01-13T18:06:15Z,2026-05-31T23:59:59Z
STG-00000142,APP-0000063,review,1,2024-01-04,2024-01-08,,2024-01-08T08:42:21Z,2026-05-31T23:59:59Z
STG-00000143,APP-0000063,screen,2,2024-01-08,2024-01-10,,2024-01-10T11:01:15Z,2026-05-31T23:59:59Z
STG-00000144,APP-0000063,assessment,3,2024-01-10,2024-01-20,rejected,2024-01-20T08:28:08Z,2026-05-31T23:59:59Z
STG-00000145,APP-0000064,review,1,2024-01-04,2024-01-11,rejected,2024-01-11T16:06:38Z,2026-05-31T23:59:59Z
STG-00000146,APP-0000065,review,1,2024-01-04,2024-01-08,,2024-01-08T10:00:20Z,2026-05-31T23:59:59Z
STG-00000147,APP-0000065,screen,2,2024-01-08,2024-01-11,rejected,2024-01-11T18:58:42Z,2026-05-31T23:59:59Z
STG-00000148,APP-0000066,review,1,2024-01-04,2024-01-16,withdrawn,2024-01-16T14:35:31Z,2026-05-31T23:59:59Z
STG-00000149,APP-0000067,review,1,2024-01-04,2024-01-06,,2024-01-06T16:00:37Z,2026-05-31T23:59:59Z
STG-00000150,APP-0000067,screen,2,2024-01-06,2024-01-07,rejected,2024-01-07T12:51:12Z,2026-05-31T23:59:59Z
STG-00000151,APP-0000068,review,1,2024-01-04,2024-01-14,,2024-01-14T15:59:18Z,2026-05-31T23:59:59Z
STG-00000152,APP-0000068,screen,2,2024-01-14,2024-01-17,,2024-01-17T10:41:48Z,2026-05-31T23:59:59Z
STG-00000153,APP-0000068,assessment,3,2024-01-17,2024-01-19,rejected,2024-01-19T09:15:38Z,2026-05-31T23:59:59Z
STG-00000154,APP-0000069,review,1,2024-01-04,2024-01-10,,2024-01-10T11:43:21Z,2026-05-31T23:59:59Z
STG-00000155,APP-0000069,screen,2,2024-01-10,2024-01-13,,2024-01-13T08:10:55Z,2026-05-31T23:59:59Z
STG-00000156,APP-0000069,assessment,3,2024-01-13,2024-01-16,rejected,2024-01-16T17:48:37Z,2026-05-31T23:59:59Z
STG-00000157,APP-0000070,review,1,2024-01-04,2024-01-05,rejected,2024-01-05T16:51:47Z,2026-05-31T23:59:59Z
STG-00000158,APP-0000071,review,1,2024-01-04,2024-01-13,rejected,2024-01-13T18:02:26Z,2026-05-31T23:59:59Z
STG-00000159,APP-0000072,review,1,2024-01-04,2024-01-06,,2024-01-06T11:59:32Z,2026-05-31T23:59:59Z
STG-00000160,APP-0000072,screen,2,2024-01-06,2024-01-09,,2024-01-09T12:38:27Z,2026-05-31T23:59:59Z
STG-00000161,APP-0000072,assessment,3,2024-01-09,2024-01-11,rejected,2024-01-11T14:13:41Z,2026-05-31T23:59:59Z
STG-00000162,APP-0000073,review,1,2024-01-04,2024-01-06,,2024-01-06T19:11:43Z,2026-05-31T23:59:59Z
STG-00000163,APP-0000073,screen,2,2024-01-06,2024-01-10,,2024-01-10T17:32:41Z,2026-05-31T23:59:59Z
STG-00000164,APP-0000073,assessment,3,2024-01-10,2024-01-14,rejected,2024-01-14T10:53:14Z,2026-05-31T23:59:59Z
STG-00000165,APP-0000074,review,1,2024-01-04,2024-01-09,,2024-01-09T16:32:12Z,2026-05-31T23:59:59Z
STG-00000166,APP-0000074,screen,2,2024-01-09,2024-01-14,rejected,2024-01-14T18:35:34Z,2026-05-31T23:59:59Z
STG-00000167,APP-0000075,review,1,2024-01-04,2024-01-12,rejected,2024-01-12T19:01:52Z,2026-05-31T23:59:59Z
STG-00000168,APP-0000076,review,1,2024-01-04,2024-01-09,,2024-01-09T16:54:09Z,2026-05-31T23:59:59Z
STG-00000169,APP-0000076,screen,2,2024-01-09,2024-01-14,rejected,2024-01-14T11:25:27Z,2026-05-31T23:59:59Z
STG-00000170,APP-0000077,review,1,2024-01-04,2024-01-08,rejected,2024-01-08T09:10:26Z,2026-05-31T23:59:59Z
STG-00000171,APP-0000078,review,1,2024-01-04,2024-01-08,rejected,2024-01-08T17:23:32Z,2026-05-31T23:59:59Z
STG-00000172,APP-0000079,review,1,2024-01-04,2024-01-10,withdrawn,2024-01-10T16:05:02Z,2026-05-31T23:59:59Z
STG-00000173,APP-0000080,review,1,2024-01-04,2024-01-07,,2024-01-07T19:48:08Z,2026-05-31T23:59:59Z
STG-00000174,APP-0000080,screen,2,2024-01-07,2024-01-15,,2024-01-15T19:46:35Z,2026-05-31T23:59:59Z
STG-00000175,APP-0000080,assessment,3,2024-01-15,2024-01-18,,2024-01-18T13:53:17Z,2026-05-31T23:59:59Z
STG-00000176,APP-0000080,interview,4,2024-01-18,2024-01-30,rejected,2024-01-30T09:17:43Z,2026-05-31T23:59:59Z
STG-00000177,APP-0000081,review,1,2024-01-04,2024-01-07,,2024-01-07T08:56:01Z,2026-05-31T23:59:59Z
STG-00000178,APP-0000081,screen,2,2024-01-07,2024-01-12,,2024-01-12T13:26:08Z,2026-05-31T23:59:59Z
STG-00000179,APP-0000081,assessment,3,2024-01-12,2024-01-20,rejected,2024-01-20T15:24:22Z,2026-05-31T23:59:59Z
STG-00000180,APP-0000082,review,1,2024-01-04,2024-01-09,rejected,2024-01-09T14:16:45Z,2026-05-31T23:59:59Z
STG-00000181,APP-0000083,review,1,2024-01-04,2024-01-06,withdrawn,2024-01-06T09:31:07Z,2026-05-31T23:59:59Z
STG-00000182,APP-0000084,review,1,2024-01-04,2024-01-11,rejected,2024-01-11T16:47:29Z,2026-05-31T23:59:59Z
STG-00000183,APP-0000085,review,1,2024-01-04,2024-01-05,,2024-01-05T08:49:59Z,2026-05-31T23:59:59Z
STG-00000184,APP-0000085,screen,2,2024-01-05,2024-01-08,,2024-01-08T18:51:00Z,2026-05-31T23:59:59Z
STG-00000185,APP-0000085,assessment,3,2024-01-08,2024-01-13,,2024-01-13T18:37:54Z,2026-05-31T23:59:59Z
STG-00000186,APP-0000085,interview,4,2024-01-13,2024-01-17,,2024-01-17T11:49:12Z,2026-05-31T23:59:59Z
STG-00000187,APP-0000085,offer,5,2024-01-17,2024-01-19,,2024-01-19T15:50:06Z,2026-05-31T23:59:59Z
STG-00000188,APP-0000086,review,1,2024-01-04,2024-01-10,,2024-01-10T08:36:15Z,2026-05-31T23:59:59Z
STG-00000189,APP-0000086,screen,2,2024-01-10,2024-01-29,,2024-01-29T10:53:29Z,2026-05-31T23:59:59Z
STG-00000190,APP-0000086,assessment,3,2024-01-29,2024-02-13,,2024-02-13T13:29:48Z,2026-05-31T23:59:59Z
STG-00000191,APP-0000086,interview,4,2024-02-13,2024-03-17,,2024-03-17T14:54:18Z,2026-05-31T23:59:59Z
STG-00000192,APP-0000086,offer,5,2024-03-17,2024-03-22,,2024-03-22T10:11:44Z,2026-05-31T23:59:59Z
STG-00000193,APP-0000087,review,1,2024-01-04,2024-01-07,rejected,2024-01-07T09:40:06Z,2026-05-31T23:59:59Z
STG-00000194,APP-0000088,review,1,2024-01-04,2024-01-08,,2024-01-08T17:36:21Z,2026-05-31T23:59:59Z
STG-00000195,APP-0000088,screen,2,2024-01-08,2024-01-12,,2024-01-12T19:01:23Z,2026-05-31T23:59:59Z
STG-00000196,APP-0000088,assessment,3,2024-01-12,2024-01-15,rejected,2024-01-15T10:13:13Z,2026-05-31T23:59:59Z
STG-00000197,APP-0000089,review,1,2024-01-04,2024-01-08,,2024-01-08T17:07:59Z,2026-05-31T23:59:59Z
STG-00000198,APP-0000089,screen,2,2024-01-08,2024-01-12,,2024-01-12T15:26:54Z,2026-05-31T23:59:59Z
STG-00000199,APP-0000089,assessment,3,2024-01-12,2024-01-16,withdrawn,2024-01-16T11:05:12Z,2026-05-31T23:59:59Z
STG-00000200,APP-0000090,review,1,2024-01-04,2024-01-09,,2024-01-09T14:19:08Z,2026-05-31T23:59:59Z
STG-00000201,APP-0000090,screen,2,2024-01-09,2024-01-14,withdrawn,2024-01-14T15:59:06Z,2026-05-31T23:59:59Z
STG-00000202,APP-0000091,review,1,2024-01-04,2024-01-18,,2024-01-18T09:05:52Z,2026-05-31T23:59:59Z
STG-00000203,APP-0000091,screen,2,2024-01-18,2024-01-24,rejected,2024-01-24T13:19:34Z,2026-05-31T23:59:59Z
STG-00000204,APP-0000092,review,1,2024-01-04,2024-01-11,,2024-01-11T16:09:41Z,2026-05-31T23:59:59Z
STG-00000205,APP-0000092,screen,2,2024-01-11,2024-01-17,,2024-01-17T09:13:55Z,2026-05-31T23:59:59Z
STG-00000206,APP-0000092,assessment,3,2024-01-17,2024-01-22,,2024-01-22T16:52:57Z,2026-05-31T23:59:59Z
STG-00000207,APP-0000092,interview,4,2024-01-22,2024-02-05,,2024-02-05T11:53:35Z,2026-05-31T23:59:59Z
STG-00000208,APP-0000092,offer,5,2024-02-05,2024-02-11,,2024-02-11T13:57:02Z,2026-05-31T23:59:59Z
STG-00000209,APP-0000093,review,1,2024-01-04,2024-01-06,,2024-01-06T11:09:44Z,2026-05-31T23:59:59Z
STG-00000210,APP-0000093,screen,2,2024-01-06,2024-01-09,rejected,2024-01-09T11:28:29Z,2026-05-31T23:59:59Z
STG-00000211,APP-0000094,review,1,2024-01-04,2024-01-08,,2024-01-08T13:56:27Z,2026-05-31T23:59:59Z
STG-00000212,APP-0000094,screen,2,2024-01-08,2024-01-11,,2024-01-11T12:21:05Z,2026-05-31T23:59:59Z
STG-00000213,APP-0000094,assessment,3,2024-01-11,2024-01-17,,2024-01-17T16:07:03Z,2026-05-31T23:59:59Z
