worker_event_id,worker_id,candidate_id,application_id,requisition_id,event_type,event_date,termination_reason,updated_at,extracted_at
WE-0000034,W-100033,CAND-0002215,APP-0002217,REQ-2024-00238,start,2024-02-26,,2024-02-28T12:11:49Z,2026-05-31T23:59:59Z
WE-0000035,W-100034,CAND-0002809,APP-0002817,REQ-2024-00285,start,2024-02-26,,2024-02-28T11:11:15Z,2026-05-31T23:59:59Z
WE-0000036,W-100035,CAND-0000130,APP-0000130,REQ-2024-00036,start,2024-03-04,,2024-03-05T15:51:05Z,2026-05-31T23:59:59Z
WE-0000037,W-100036,CAND-0000151,APP-0000151,REQ-2024-00062,start,2024-03-04,,2024-03-05T17:44:31Z,2026-05-31T23:59:59Z
WE-0000038,W-100037,CAND-0000366,APP-0000366,REQ-2024-00133,start,2024-03-04,,2024-03-05T13:03:42Z,2026-05-31T23:59:59Z
WE-0000039,W-100038,CAND-0000397,APP-0000397,REQ-2024-00028,start,2024-03-04,,2024-03-04T14:33:28Z,2026-05-31T23:59:59Z
WE-0000040,W-100039,CAND-0000441,APP-0000441,REQ-2024-00063,start,2024-03-04,,2024-03-04T12:28:11Z,2026-05-31T23:59:59Z
WE-0000041,W-100040,CAND-0000442,APP-0000442,REQ-2024-00063,start,2024-03-04,,2024-03-04T15:15:25Z,2026-05-31T23:59:59Z
WE-0000042,W-100041,CAND-0000529,APP-0000529,REQ-2024-00069,start,2024-03-04,,2024-03-06T14:08:55Z,2026-05-31T23:59:59Z
WE-0000043,W-100042,CAND-0000932,APP-0000932,REQ-2024-00115,start,2024-03-04,,2024-03-07T16:37:53Z,2026-05-31T23:59:59Z
WE-0000044,W-100043,CAND-0000971,APP-0000971,REQ-2024-00175,start,2024-03-04,,2024-03-06T13:17:54Z,2026-05-31T23:59:59Z
WE-0000045,W-100044,CAND-0001008,APP-0001008,REQ-2024-00034,start,2024-03-04,,2024-03-04T16:06:44Z,2026-05-31T23:59:59Z
WE-0000046,W-100045,CAND-0001251,APP-0001251,REQ-2024-00192,start,2024-03-04,,2024-03-06T17:26:06Z,2026-05-31T23:59:59Z
WE-0000047,W-100046,CAND-0001271,APP-0001271,REQ-2024-00225,start,2024-03-04,,2024-03-05T15:22:32Z,2026-05-31T23:59:59Z
WE-0000048,W-100047,CAND-0001546,APP-0001547,REQ-2024-00115,start,2024-03-04,,2024-03-05T19:30:49Z,2026-05-31T23:59:59Z
WE-0000049,W-100048,CAND-0001559,APP-0001560,REQ-2024-00134,start,2024-03-04,,2024-03-07T18:11:11Z,2026-05-31T23:59:59Z
WE-0000050,W-100049,CAND-0001587,APP-0001588,REQ-2024-00160,start,2024-03-04,,2024-03-05T19:29:30Z,2026-05-31T23:59:59Z
WE-0000051,W-100050,CAND-0001590,APP-0001591,REQ-2024-00163,start,2024-03-04,,2024-03-06T13:11:40Z,2026-05-31T23:59:59Z
WE-0000052,W-100051,CAND-0001637,APP-0001638,REQ-2024-00226,start,2024-03-04,,2024-03-06T17:58:14Z,2026-05-31T23:59:59Z
WE-0000053,W-100052,CAND-0001641,APP-0001642,REQ-2024-00229,start,2024-03-04,,2024-03-05T18:50:08Z,2026-05-31T23:59:59Z
WE-0000054,W-100053,CAND-0001662,APP-0001663,REQ-2024-00266,start,2024-03-04,,2024-03-05T15:19:31Z,2026-05-31T23:59:59Z
WE-0000055,W-100054,CAND-0001772,APP-0001773,REQ-2024-00147,start,2024-03-04,,2024-03-04T13:35:17Z,2026-05-31T23:59:59Z
WE-0000056,W-100055,CAND-0001792,APP-0001793,REQ-2024-00180,start,2024-03-04,,2024-03-07T09:43:11Z,2026-05-31T23:59:59Z
WE-0000057,W-100056,CAND-0001835,APP-0001836,REQ-2024-00226,start,2024-03-04,,2024-03-06T10:34:33Z,2026-05-31T23:59:59Z
WE-0000058,W-100057,CAND-0001849,APP-0001850,REQ-2024-00247,start,2024-03-04,,2024-03-04T10:58:48Z,2026-05-31T23:59:59Z
WE-0000059,W-100058,CAND-0002084,APP-0002085,REQ-2024-00022,start,2024-03-04,,2024-03-05T10:06:54Z,2026-05-31T23:59:59Z
WE-0000060,W-100059,CAND-0002569,APP-0002574,REQ-2024-00229,start,2024-03-04,,2024-03-05T15:54:01Z,2026-05-31T23:59:59Z
WE-0000061,W-100060,CAND-0002583,APP-0002588,REQ-2024-00249,start,2024-03-04,,2024-03-07T13:35:11Z,2026-05-31T23:59:59Z
WE-0000062,W-100061,CAND-0002638,APP-0002645,REQ-2024-00325,start,2024-03-04,,2024-03-05T10:06:45Z,2026-05-31T23:59:59Z
WE-0000063,W-100062,CAND-0002649,APP-0002656,REQ-2024-00012,start,2024-03-04,,2024-03-07T16:13:23Z,2026-05-31T23:59:59Z
WE-0000064,W-100063,CAND-0002670,APP-0002677,REQ-2024-00052,start,2024-03-04,,2024-03-05T15:41:52Z,2026-05-31T23:59:59Z
WE-0000065,W-100064,CAND-0003386,APP-0003395,REQ-2024-00211,start,2024-03-04,,2024-03-06T11:26:14Z,2026-05-31T23:59:59Z
WE-0000066,W-100065,CAND-0003488,APP-0003497,REQ-2024-00343,start,2024-03-04,,2024-03-04T16:35:56Z,2026-05-31T23:59:59Z
WE-0000067,W-100066,CAND-0003641,APP-0003650,REQ-2024-00277,start,2024-03-04,,2024-03-04T08:08:26Z,2026-05-31T23:59:59Z
WE-0000068,W-100067,CAND-0005038,APP-0005059,REQ-2024-00089,start,2024-03-04,,2024-03-07T11:39:23Z,2026-05-31T23:59:59Z
WE-0000069,W-100068,CAND-0000052,APP-0000052,REQ-2024-00068,start,2024-03-11,,2024-03-12T16:53:17Z,2026-05-31T23:59:59Z
WE-0000070,W-100069,CAND-0000113,APP-0000113,REQ-2024-00024,start,2024-03-11,,2024-03-11T18:55:20Z,2026-05-31T23:59:59Z
WE-0000071,W-100070,CAND-0000118,APP-0000118,REQ-2024-00026,start,2024-03-11,,2024-03-12T16:36:30Z,2026-05-31T23:59:59Z
WE-0000072,W-100071,CAND-0000250,APP-0000250,REQ-2024-00084,start,2024-03-11,,2024-03-11T17:24:04Z,2026-05-31T23:59:59Z
WE-0000073,W-100072,CAND-0000453,APP-0000453,REQ-2024-00072,start,2024-03-11,,2024-03-14T16:02:42Z,2026-05-31T23:59:59Z
WE-0000074,W-100073,CAND-0000547,APP-0000547,REQ-2024-00096,start,2024-03-11,,2024-03-13T13:43:29Z,2026-05-31T23:59:59Z
WE-0000075,W-100074,CAND-0000617,APP-0000617,REQ-2024-00040,start,2024-03-11,,2024-03-14T13:59:51Z,2026-05-31T23:59:59Z
WE-0000076,W-100075,CAND-0000680,APP-0000680,REQ-2024-00136,start,2024-03-11,,2024-03-11T12:21:01Z,2026-05-31T23:59:59Z
WE-0000077,W-100076,CAND-0000818,APP-0000818,REQ-2024-00147,start,2024-03-11,,2024-03-14T12:57:31Z,2026-05-31T23:59:59Z
WE-0000078,W-100077,CAND-0000833,APP-0000833,REQ-2024-00164,start,2024-03-11,,2024-03-11T08:24:10Z,2026-05-31T23:59:59Z
WE-0000079,W-100078,CAND-0000869,APP-0000869,REQ-2024-00034,start,2024-03-11,,2024-03-12T14:27:08Z,2026-05-31T23:59:59Z
WE-0000080,W-100079,CAND-0000910,APP-0000910,REQ-2024-00082,start,2024-03-11,,2024-03-13T15:46:31Z,2026-05-31T23:59:59Z
WE-0000081,W-100080,CAND-0000948,APP-0000948,REQ-2024-00133,start,2024-03-11,,2024-03-11T08:17:05Z,2026-05-31T23:59:59Z
WE-0000082,W-100081,CAND-0000949,APP-0000949,REQ-2024-00133,start,2024-03-11,,2024-03-11T12:27:39Z,2026-05-31T23:59:59Z
WE-0000083,W-100082,CAND-0001063,APP-0001063,REQ-2024-00118,start,2024-03-11,,2024-03-11T14:02:21Z,2026-05-31T23:59:59Z
WE-0000084,W-100083,CAND-0001086,APP-0001086,REQ-2024-00155,start,2024-03-11,,2024-03-11T11:21:50Z,2026-05-31T23:59:59Z
WE-0000085,W-100084,CAND-0001097,APP-0001097,REQ-2024-00178,start,2024-03-11,,2024-03-14T09:12:56Z,2026-05-31T23:59:59Z
WE-0000086,W-100085,CAND-0001120,APP-0001120,REQ-2024-00007,start,2024-03-11,,2024-03-11T10:50:10Z,2026-05-31T23:59:59Z
WE-0000087,W-100086,CAND-0001216,APP-0001216,REQ-2024-00147,start,2024-03-11,,2024-03-14T12:55:16Z,2026-05-31T23:59:59Z
WE-0000088,W-100087,CAND-0001460,APP-0001461,REQ-2024-00239,start,2024-03-11,,2024-03-13T19:40:21Z,2026-05-31T23:59:59Z
WE-0000089,W-100088,CAND-0001578,APP-0001579,REQ-2024-00148,start,2024-03-11,,2024-03-13T16:39:15Z,2026-05-31T23:59:59Z
WE-0000090,W-100089,CAND-0001674,APP-0001675,REQ-2024-00008,start,2024-03-11,,2024-03-12T15:00:38Z,2026-05-31T23:59:59Z
WE-0000091,W-100090,CAND-0001702,APP-0001703,REQ-2024-00034,start,2024-03-11,,2024-03-12T09:37:04Z,2026-05-31T23:59:59Z
WE-0000092,W-100091,CAND-0001755,APP-0001756,REQ-2024-00133,start,2024-03-11,,2024-03-11T13:58:18Z,2026-05-31T23:59:59Z
WE-0000093,W-100092,CAND-0001881,APP-0001882,REQ-2024-00026,start,2024-03-11,,2024-03-12T13:06:52Z,2026-05-31T23:59:59Z
WE-0000094,W-100093,CAND-0001932,APP-0001933,REQ-2024-00115,start,2024-03-11,,2024-03-11T16:47:11Z,2026-05-31T23:59:59Z
WE-0000095,W-100094,CAND-0001943,APP-0001944,REQ-2024-00133,start,2024-03-11,,2024-03-12T10:54:17Z,2026-05-31T23:59:59Z
WE-0000096,W-100095,CAND-0002091,APP-0002092,REQ-2024-00034,start,2024-03-11,,2024-03-13T11:59:31Z,2026-05-31T23:59:59Z
WE-0000097,W-100096,CAND-0002176,APP-0002178,REQ-2024-00176,start,2024-03-11,,2024-03-14T17:48:37Z,2026-05-31T23:59:59Z
WE-0000098,W-100097,CAND-0002239,APP-0002241,REQ-2024-00273,start,2024-03-11,,2024-03-13T18:38:28Z,2026-05-31T23:59:59Z
WE-0000099,W-100098,CAND-0002258,APP-0002260,REQ-2024-00308,start,2024-03-11,,2024-03-11T16:54:10Z,2026-05-31T23:59:59Z
WE-0000100,W-100099,CAND-0002274,APP-0002276,REQ-2024-00034,start,2024-03-11,,2024-03-12T19:27:36Z,2026-05-31T23:59:59Z
WE-0000101,W-100100,CAND-0002365,APP-0002368,REQ-2024-00192,start,2024-03-11,,2024-03-13T19:55:42Z,2026-05-31T23:59:59Z
WE-0000102,W-100100,CAND-0002365,APP-0002368,REQ-2024-00192,start,2024-03-11,,2024-03-17T18:35:48Z,2026-05-31T23:59:59Z
WE-0000103,W-100101,CAND-0002398,APP-0002403,REQ-2024-00231,start,2024-03-11,,2024-03-14T18:04:02Z,2026-05-31T23:59:59Z
WE-0000104,W-100102,CAND-0002416,APP-0002421,REQ-2024-00275,start,2024-03-11,,2024-03-12T12:08:17Z,2026-05-31T23:59:59Z
WE-0000105,W-100103,CAND-0002487,APP-0002492,REQ-2024-00106,start,2024-03-11,,2024-03-13T12:05:59Z,2026-05-31T23:59:59Z
WE-0000106,W-100104,CAND-0002571,APP-0002576,REQ-2024-00233,start,2024-03-11,,2024-03-13T13:19:25Z,2026-05-31T23:59:59Z
WE-0000107,W-100105,CAND-0002746,APP-0002754,REQ-2024-00202,start,2024-03-11,,2024-03-11T19:27:07Z,2026-05-31T23:59:59Z
WE-0000108,W-100106,CAND-0002755,APP-0002763,REQ-2024-00211,start,2024-03-11,,2024-03-14T16:52:42Z,2026-05-31T23:59:59Z
WE-0000109,W-100107,CAND-0002780,APP-0002788,REQ-2024-00240,start,2024-03-11,,2024-03-14T08:58:52Z,2026-05-31T23:59:59Z
WE-0000110,W-100108,CAND-0003235,APP-0003243,REQ-2024-00277,start,2024-03-11,,2024-03-13T17:12:09Z,2026-05-31T23:59:59Z
WE-0000111,W-100109,CAND-0003258,APP-0003266,REQ-2024-00308,start,2024-03-11,,2024-03-13T09:24:15Z,2026-05-31T23:59:59Z
WE-0000112,W-100110,CAND-0003347,APP-0003356,REQ-2024-00146,start,2024-03-11,,2024-03-13T14:20:53Z,2026-05-31T23:59:59Z
WE-0000113,W-100111,CAND-0003394,APP-0003403,REQ-2024-00226,start,2024-03-11,,2024-03-14T10:05:07Z,2026-05-31T23:59:59Z
WE-0000114,W-100112,CAND-0003471,APP-0003480,REQ-2024-00320,start,2024-03-11,,2024-03-11T15:41:36Z,2026-05-31T23:59:59Z
WE-0000115,W-100113,CAND-0003480,APP-0003489,REQ-2024-00332,start,2024-03-11,,2024-03-14T13:13:10Z,2026-05-31T23:59:59Z
WE-0000116,W-100114,CAND-0003510,APP-0003519,REQ-2024-00034,start,2024-03-11,,2024-03-13T09:25:48Z,2026-05-31T23:59:59Z
WE-0000117,W-100115,CAND-0003679,APP-0003688,REQ-2024-00320,start,2024-03-11,,2024-03-11T17:39:22Z,2026-05-31T23:59:59Z
WE-0000118,W-100116,CAND-0003708,APP-0003717,REQ-2024-00347,start,2024-03-11,,2024-03-14T14:53:15Z,2026-05-31T23:59:59Z
WE-0000119,W-100117,CAND-0003728,APP-0003737,REQ-2024-00034,start,2024-03-11,,2024-03-14T11:32:29Z,2026-05-31T23:59:59Z
WE-0000120,W-100118,CAND-0003800,APP-0003810,REQ-2024-00178,start,2024-03-11,,2024-03-14T19:58:34Z,2026-05-31T23:59:59Z
WE-0000121,W-100119,CAND-0003887,APP-0003898,REQ-2024-00310,start,2024-03-11,,2024-03-14T10:46:20Z,2026-05-31T23:59:59Z
WE-0000122,W-100120,CAND-0003932,APP-0003943,REQ-2024-00356,start,2024-03-11,,2024-03-12T19:04:38Z,2026-05-31T23:59:59Z
WE-0000123,W-100121,CAND-0004090,APP-0004101,REQ-2024-00294,start,2024-03-11,,2024-03-14T14:44:32Z,2026-05-31T23:59:59Z
WE-0000124,W-100122,CAND-0004494,APP-0004509,REQ-2024-00316,start,2024-03-11,,2024-03-11T18:10:59Z,2026-05-31T23:59:59Z
WE-0000125,W-100123,CAND-0004680,APP-0004696,REQ-2024-00343,start,2024-03-11,,2024-03-11T13:02:29Z,2026-05-31T23:59:59Z
WE-0000126,W-100124,CAND-0004693,APP-0004709,REQ-2024-00359,start,2024-03-11,,2024-03-13T18:06:23Z,2026-05-31T23:59:59Z
WE-0000127,W-100125,CAND-0005167,APP-0005189,REQ-2024-00343,start,2024-03-11,,2024-03-13T15:51:37Z,2026-05-31T23:59:59Z
WE-0000128,W-100126,CAND-0005306,APP-0005329,REQ-2024-00023,start,2024-03-11,,2024-03-14T16:28:08Z,2026-05-31T23:59:59Z
WE-0000129,W-100127,CAND-0005375,APP-0005398,REQ-2024-00272,start,2024-03-11,,2024-03-13T13:50:06Z,2026-05-31T23:59:59Z
WE-0000130,W-100128,CAND-0005420,APP-0005443,REQ-2024-00343,start,2024-03-11,,2024-03-14T09:11:07Z,2026-05-31T23:59:59Z
WE-0000131,W-100129,CAND-0005494,APP-0005518,REQ-2024-00322,start,2024-03-11,,2024-03-11T09:51:57Z,2026-05-31T23:59:59Z
WE-0000132,W-100007,CAND-0000614,APP-0000614,REQ-2024-00037,termination,2024-03-14,voluntary_resignation,2024-03-17T10:49:43Z,2026-05-31T23:59:59Z
WE-0000133,W-100011,CAND-0000526,APP-0000526,REQ-2024-00063,termination,2024-03-14,voluntary_resignation,2024-03-17T11:50:41Z,2026-05-31T23:59:59Z
WE-0000134,W-100130,CAND-0000277,APP-0000277,REQ-2024-00014,start,2024-03-18,,2024-03-21T13:12:18Z,2026-05-31T23:59:59Z
WE-0000135,W-100131,CAND-0000622,APP-0000622,REQ-2024-00051,start,2024-03-18,,2024-03-18T11:46:44Z,2026-05-31T23:59:59Z
WE-0000136,W-100132,CAND-0000677,APP-0000677,REQ-2024-00133,start,2024-03-18,,2024-03-20T10:12:46Z,2026-05-31T23:59:59Z
WE-0000137,W-100133,CAND-0000693,APP-0000693,REQ-2024-00147,start,2024-03-18,,2024-03-20T19:08:56Z,2026-05-31T23:59:59Z
WE-0000138,W-100134,CAND-0000923,APP-0000923,REQ-2024-00102,start,2024-03-18,,2024-03-18T18:29:45Z,2026-05-31T23:59:59Z
WE-0000139,W-100135,CAND-0001115,APP-0001115,REQ-2024-00004,start,2024-03-18,,2024-03-18T11:17:35Z,2026-05-31T23:59:59Z
WE-0000140,W-100136,CAND-0001175,APP-0001175,REQ-2024-00096,start,2024-03-18,,2024-03-18T10:51:24Z,2026-05-31T23:59:59Z
WE-0000141,W-100137,CAND-0001193,APP-0001193,REQ-2024-00128,start,2024-03-18,,2024-03-21T13:14:34Z,2026-05-31T23:59:59Z
WE-0000142,W-100138,CAND-0001371,APP-0001371,REQ-2024-00133,start,2024-03-18,,2024-03-18T11:40:48Z,2026-05-31T23:59:59Z
WE-0000143,W-100139,CAND-0001538,APP-0001539,REQ-2024-00100,start,2024-03-18,,2024-03-19T09:13:58Z,2026-05-31T23:59:59Z
WE-0000144,W-100140,CAND-0001959,APP-0001960,REQ-2024-00147,start,2024-03-18,,2024-03-21T15:44:53Z,2026-05-31T23:59:59Z
WE-0000145,W-100141,CAND-0002012,APP-0002013,REQ-2024-00211,start,2024-03-18,,2024-03-19T11:29:39Z,2026-05-31T23:59:59Z
WE-0000146,W-100142,CAND-0002157,APP-0002159,REQ-2024-00147,start,2024-03-18,,2024-03-21T13:14:01Z,2026-05-31T23:59:59Z
WE-0000147,W-100143,CAND-0002167,APP-0002169,REQ-2024-00158,start,2024-03-18,,2024-03-20T11:34:39Z,2026-05-31T23:59:59Z
WE-0000148,W-100144,CAND-0002325,APP-0002327,REQ-2024-00144,start,2024-03-18,,2024-03-21T19:44:30Z,2026-05-31T23:59:59Z
WE-0000149,W-100145,CAND-0002619,APP-0002625,REQ-2024-00295,start,2024-03-18,,2024-03-20T16:21:28Z,2026-05-31T23:59:59Z
WE-0000150,W-100146,CAND-0002622,APP-0002629,REQ-2024-00303,start,2024-03-18,,2024-03-21T17:28:13Z,2026-05-31T23:59:59Z
WE-0000151,W-100147,CAND-0002771,APP-0002779,REQ-2024-00226,start,2024-03-18,,2024-03-20T11:35:23Z,2026-05-31T23:59:59Z
WE-0000152,W-100148,CAND-0002834,APP-0002842,REQ-2024-00310,start,2024-03-18,,2024-03-18T10:33:37Z,2026-05-31T23:59:59Z
WE-0000153,W-100149,CAND-0003000,APP-0003008,REQ-2024-00249,start,2024-03-18,,2024-03-19T16:22:47Z,2026-05-31T23:59:59Z
WE-0000154,W-100150,CAND-0003191,APP-0003199,REQ-2024-00215,start,2024-03-18,,2024-03-20T10:43:00Z,2026-05-31T23:59:59Z
WE-0000155,W-100151,CAND-0003237,APP-0003245,REQ-2024-00281,start,2024-03-18,,2024-03-18T16:01:38Z,2026-05-31T23:59:59Z
WE-0000156,W-100152,CAND-0003272,APP-0003280,REQ-2024-00322,start,2024-03-18,,2024-03-18T17:55:36Z,2026-05-31T23:59:59Z
WE-0000157,W-100153,CAND-0003381,APP-0003390,REQ-2024-00207,start,2024-03-18,,2024-03-20T18:22:06Z,2026-05-31T23:59:59Z
WE-0000158,W-100154,CAND-0003526,APP-0003535,REQ-2024-00075,start,2024-03-18,,2024-03-18T09:09:51Z,2026-05-31T23:59:59Z
WE-0000159,W-100155,CAND-0003571,APP-0003580,REQ-2024-00147,start,2024-03-18,,2024-03-19T10:19:53Z,2026-05-31T23:59:59Z
WE-0000160,W-100156,CAND-0003825,APP-0003835,REQ-2024-00221,start,2024-03-18,,2024-03-20T13:10:06Z,2026-05-31T23:59:59Z
WE-0000161,W-100157,CAND-0003826,APP-0003836,REQ-2024-00221,start,2024-03-18,,2024-03-21T17:55:04Z,2026-05-31T23:59:59Z
WE-0000162,W-100158,CAND-0004108,APP-0004119,REQ-2024-00308,start,2024-03-18,,2024-03-20T08:11:46Z,2026-05-31T23:59:59Z
WE-0000163,W-100159,CAND-0004119,APP-0004130,REQ-2024-00321,start,2024-03-18,,2024-03-19T13:54:28Z,2026-05-31T23:59:59Z
WE-0000164,W-100160,CAND-0004186,APP-0004198,REQ-2024-00146,start,2024-03-18,,2024-03-20T11:13:59Z,2026-05-31T23:59:59Z
WE-0000165,W-100161,CAND-0000313,APP-0004255,REQ-2024-00248,start,2024-03-18,,2024-03-21T19:22:09Z,2026-05-31T23:59:59Z
WE-0000166,W-100162,CAND-0004243,APP-0004256,REQ-2024-00249,start,2024-03-18,,2024-03-18T18:44:43Z,2026-05-31T23:59:59Z
WE-0000167,W-100163,CAND-0004594,APP-0004609,REQ-2024-00202,start,2024-03-18,,2024-03-18T15:13:17Z,2026-05-31T23:59:59Z
WE-0000168,W-100164,CAND-0004706,APP-0004722,REQ-2024-00039,start,2024-03-18,,2024-03-21T09:07:40Z,2026-05-31T23:59:59Z
WE-0000169,W-100165,CAND-0004740,APP-0004756,REQ-2024-00165,start,2024-03-18,,2024-03-20T11:02:34Z,2026-05-31T23:59:59Z
WE-0000170,W-100166,CAND-0004797,APP-0004813,REQ-2024-00281,start,2024-03-18,,2024-03-18T11:14:55Z,2026-05-31T23:59:59Z
WE-0000171,W-100167,CAND-0003795,APP-0004827,REQ-2024-00299,start,2024-03-18,,2024-03-19T13:52:57Z,2026-05-31T23:59:59Z
WE-0000172,W-100168,CAND-0004991,APP-0005012,REQ-2024-00330,start,2024-03-18,,2024-03-18T15:04:35Z,2026-05-31T23:59:59Z
WE-0000173,W-100169,CAND-0005168,APP-0005190,REQ-2024-00343,start,2024-03-18,,2024-03-18T14:08:21Z,2026-05-31T23:59:59Z
WE-0000174,W-100170,CAND-0005522,APP-0005546,REQ-2024-00356,start,2024-03-18,,2024-03-19T09:40:06Z,2026-05-31T23:59:59Z
WE-0000175,W-100171,CAND-0005599,APP-0005625,REQ-2024-00281,start,2024-03-18,,2024-03-19T09:31:12Z,2026-05-31T23:59:59Z
WE-0000176,W-100172,CAND-0005644,APP-0005671,REQ-2024-00343,start,2024-03-18,,2024-03-19T19:26:18Z,2026-05-31T23:59:59Z
WE-0000177,W-100173,CAND-0005657,APP-0005684,REQ-2024-00356,start,2024-03-18,,2024-03-20T15:05:48Z,2026-05-31T23:59:59Z
WE-0000178,W-100174,CAND-0005756,APP-0005785,REQ-2024-00312,start,2024-03-18,,2024-03-19T14:34:05Z,2026-05-31T23:59:59Z
WE-0000179,W-100104,CAND-0002571,APP-0002576,REQ-2024-00233,termination,2024-03-23,voluntary_resignation,2024-03-25T11:54:51Z,2026-05-31T23:59:59Z
WE-0000180,W-100175,CAND-0000158,APP-0000158,REQ-2024-00070,start,2024-03-25,,2024-03-26T19:58:24Z,2026-05-31T23:59:59Z
