offer_version_id,offer_id,application_id,requisition_id,offer_cycle_number,offer_version_number,version_reason,offer_status,is_current_version,offer_extended_date,offer_accepted_date,offer_declined_date,offer_withdrawn_date,offer_rescinded_date,candidate_renege_date,proposed_start_date,base_salary,currency
OFR-000076-V1,OFR-000076,APP-0000800,REQ-2024-00126,1,1,initial,declined,true,2024-01-21,,2024-01-24,,,,2024-02-18,99000,USD
OFR-000077-V1,OFR-000077,APP-0000818,REQ-2024-00147,1,1,initial,accepted,true,2024-01-31,2024-02-05,,,,,2024-03-11,81000,USD
OFR-000078-V1,OFR-000078,APP-0000825,REQ-2024-00160,1,1,initial,accepted,false,2024-01-28,2024-01-31,,,,,2024-02-19,46000,USD
OFR-000078-V2,OFR-000078,APP-0000825,REQ-2024-00160,1,2,letter_reissue,accepted,true,2024-02-09,2024-02-09,,,,,2024-02-19,46000,USD
OFR-000079-V1,OFR-000079,APP-0000828,REQ-2024-00161,1,1,initial,declined,true,2024-02-16,,2024-02-19,,,,2024-03-15,106500,USD
OFR-000080-V1,OFR-000080,APP-0000833,REQ-2024-00164,1,1,initial,accepted,true,2024-02-05,2024-02-08,,,,,2024-03-11,70000,USD
OFR-000081-V1,OFR-000081,APP-0000862,REQ-2024-00031,1,1,initial,withdrawn,true,2024-02-05,,,2024-02-07,,,2024-03-04,57500,USD
OFR-000082-V1,OFR-000082,APP-0000869,REQ-2024-00034,1,1,initial,superseded,false,2024-02-03,,,,,,2024-02-26,83500,USD
OFR-000082-V2,OFR-000082,APP-0000869,REQ-2024-00034,1,2,negotiation_revision,accepted,false,2024-02-06,2024-02-07,,,,,2024-02-26,87000,USD
OFR-000082-V3,OFR-000082,APP-0000869,REQ-2024-00034,1,3,start_date_revision,accepted,true,2024-02-19,2024-02-19,,,,,2024-03-11,87000,USD
OFR-000083-V1,OFR-000083,APP-0000887,REQ-2024-00062,1,1,initial,declined,true,2024-01-28,,2024-01-29,,,,2024-02-25,108000,USD
OFR-000084-V1,OFR-000084,APP-0000910,REQ-2024-00082,1,1,initial,accepted,true,2024-02-09,2024-02-11,,,,,2024-03-11,104500,USD
OFR-000085-V1,OFR-000085,APP-0000923,REQ-2024-00102,1,1,initial,superseded,false,2024-02-02,,,,,,2024-03-18,88500,USD
OFR-000085-V2,OFR-000085,APP-0000923,REQ-2024-00102,1,2,negotiation_revision,accepted,true,2024-02-03,2024-02-05,,,,,2024-03-18,92000,USD
OFR-000086-V1,OFR-000086,APP-0000932,REQ-2024-00115,1,1,initial,accepted,true,2024-02-08,2024-02-10,,,,,2024-03-04,80000,USD
OFR-000087-V1,OFR-000087,APP-0000935,REQ-2024-00117,1,1,initial,superseded,false,2024-02-04,,,,,,2024-03-03,94500,USD
OFR-000087-V2,OFR-000087,APP-0000935,REQ-2024-00117,1,2,negotiation_revision,declined,true,2024-02-08,,2024-02-10,,,,2024-03-03,99000,USD
OFR-000088-V1,OFR-000088,APP-0000948,REQ-2024-00133,1,1,initial,accepted,false,2024-02-01,2024-02-04,,,,,2024-03-11,85500,USD
OFR-000088-V2,OFR-000088,APP-0000948,REQ-2024-00133,1,2,salary_correction,accepted,true,2024-02-18,2024-02-18,,,,,2024-03-11,87000,USD
OFR-000089-V1,OFR-000089,APP-0000949,REQ-2024-00133,1,1,initial,accepted,true,2024-01-26,2024-02-01,,,,,2024-03-11,82000,USD
OFR-000090-V1,OFR-000090,APP-0000950,REQ-2024-00134,1,1,initial,withdrawn,true,2024-02-01,,,2024-02-05,,,2024-02-29,58000,USD
OFR-000091-V1,OFR-000091,APP-0000953,REQ-2024-00139,1,1,initial,declined,true,2024-02-08,,2024-02-12,,,,2024-03-07,142000,USD
OFR-000092-V1,OFR-000092,APP-0000956,REQ-2024-00145,1,1,initial,superseded,false,2024-02-04,,,,,,2024-02-19,49000,USD
OFR-000092-V2,OFR-000092,APP-0000956,REQ-2024-00145,1,2,negotiation_revision,accepted,true,2024-02-07,2024-02-08,,,,,2024-02-19,52000,USD
OFR-000093-V1,OFR-000093,APP-0000959,REQ-2024-00147,1,1,initial,superseded,false,2024-01-31,,,,,,2024-02-28,86000,USD
OFR-000093-V2,OFR-000093,APP-0000959,REQ-2024-00147,1,2,negotiation_revision,declined,true,2024-02-01,,2024-02-03,,,,2024-02-28,91000,USD
OFR-000094-V1,OFR-000094,APP-0000968,REQ-2024-00172,1,1,initial,superseded,false,2024-02-22,,,,,,2024-04-01,106000,USD
OFR-000094-V2,OFR-000094,APP-0000968,REQ-2024-00172,1,2,negotiation_revision,accepted,true,2024-02-23,2024-02-24,,,,,2024-04-01,112500,USD
OFR-000095-V1,OFR-000095,APP-0000971,REQ-2024-00175,1,1,initial,accepted,true,2024-02-02,2024-02-06,,,,,2024-03-04,75500,USD
OFR-000096-V1,OFR-000096,APP-0000980,REQ-2024-00190,1,1,initial,withdrawn,true,2024-02-11,,,2024-02-24,,,2024-03-10,92500,USD
OFR-000097-V1,OFR-000097,APP-0000987,REQ-2024-00202,1,1,initial,accepted,false,2024-02-06,2024-02-07,,,,,2024-03-18,84000,USD
OFR-000097-V2,OFR-000097,APP-0000987,REQ-2024-00202,1,2,start_date_revision,accepted,true,2024-02-22,2024-02-22,,,,,2024-04-01,84000,USD
OFR-000098-V1,OFR-000098,APP-0001008,REQ-2024-00034,1,1,initial,accepted,true,2024-01-29,2024-01-30,,,,,2024-03-04,73000,USD
OFR-000099-V1,OFR-000099,APP-0001031,REQ-2024-00069,1,1,initial,withdrawn,true,2024-01-31,,,2024-02-05,,,2024-02-28,48500,USD
OFR-000100-V1,OFR-000100,APP-0001042,REQ-2024-00081,1,1,initial,accepted,true,2024-01-28,2024-01-29,,,,,2024-02-26,79000,USD
OFR-000101-V1,OFR-000101,APP-0001056,REQ-2024-00112,1,1,initial,withdrawn,true,2024-01-29,,,2024-01-31,,,2024-02-26,61000,USD
OFR-000102-V1,OFR-000102,APP-0001063,REQ-2024-00118,1,1,initial,accepted,true,2024-02-07,2024-02-09,,,,,2024-03-11,82000,USD
OFR-000103-V1,OFR-000103,APP-0001067,REQ-2024-00126,1,1,initial,accepted,true,2024-02-14,2024-02-15,,,,,2024-03-25,94000,USD
OFR-000104-V1,OFR-000104,APP-0001081,REQ-2024-00147,1,1,initial,accepted,true,2024-01-26,2024-01-29,,,,,2024-02-26,86500,USD
OFR-000105-V1,OFR-000105,APP-0001086,REQ-2024-00155,1,1,initial,accepted,true,2024-02-12,2024-02-14,,,,,2024-03-11,60500,USD
OFR-000106-V1,OFR-000106,APP-0001092,REQ-2024-00168,1,1,initial,reneged,true,2024-02-02,2024-02-08,,,,2024-03-01,2024-03-04,103500,USD
OFR-000107-V1,OFR-000107,APP-0001097,REQ-2024-00178,1,1,initial,accepted,true,2024-01-27,2024-02-02,,,,,2024-03-11,104000,USD
OFR-000108-V1,OFR-000108,APP-0001107,REQ-2024-00206,1,1,initial,accepted,true,2024-02-25,2024-03-01,,,,,2024-04-01,123000,USD
OFR-000109-V1,OFR-000109,APP-0001115,REQ-2024-00004,1,1,initial,accepted,true,2024-02-02,2024-02-06,,,,,2024-03-18,88000,USD
OFR-000110-V1,OFR-000110,APP-0001120,REQ-2024-00007,1,1,initial,accepted,true,2024-02-04,2024-02-08,,,,,2024-03-11,71500,USD
OFR-000111-V1,OFR-000111,APP-0001160,REQ-2024-00064,1,1,initial,declined,true,2024-01-30,,2024-02-06,,,,2024-02-27,130500,USD
OFR-000112-V1,OFR-000112,APP-0001175,REQ-2024-00096,1,1,initial,accepted,true,2024-02-22,2024-02-26,,,,,2024-03-18,101000,USD
OFR-000113-V1,OFR-000113,APP-0001193,REQ-2024-00128,1,1,initial,accepted,false,2024-01-31,2024-02-02,,,,,2024-03-04,97500,USD
OFR-000113-V2,OFR-000113,APP-0001193,REQ-2024-00128,1,2,start_date_revision,accepted,true,2024-02-08,2024-02-08,,,,,2024-03-18,97500,USD
OFR-000114-V1,OFR-000114,APP-0001200,REQ-2024-00136,1,1,initial,withdrawn,true,2024-01-29,,,2024-01-29,,,2024-02-26,83500,USD
OFR-000115-V1,OFR-000115,APP-0001216,REQ-2024-00147,1,1,initial,accepted,true,2024-02-01,2024-02-07,,,,,2024-03-11,88000,USD
OFR-000116-V1,OFR-000116,APP-0001220,REQ-2024-00153,1,1,initial,accepted,false,2024-02-04,2024-02-07,,,,,2024-03-11,102500,USD
OFR-000116-V2,OFR-000116,APP-0001220,REQ-2024-00153,1,2,start_date_revision,reneged,true,2024-02-17,2024-02-17,,,,2024-03-26,2024-03-30,102500,USD
OFR-000117-V1,OFR-000117,APP-0001232,REQ-2024-00167,1,1,initial,accepted,true,2024-02-17,2024-02-22,,,,,2024-03-25,182000,USD
OFR-000118-V1,OFR-000118,APP-0001251,REQ-2024-00192,1,1,initial,accepted,false,2024-02-05,2024-02-08,,,,,2024-03-04,64500,USD
OFR-000118-V2,OFR-000118,APP-0001251,REQ-2024-00192,1,2,salary_correction,accepted,true,2024-02-12,2024-02-12,,,,,2024-03-04,65000,USD
OFR-000119-V1,OFR-000119,APP-0001271,REQ-2024-00225,1,1,initial,accepted,true,2024-02-03,2024-02-09,,,,,2024-03-04,59000,USD
OFR-000120-V1,OFR-000120,APP-0001284,REQ-2024-00005,1,1,initial,superseded,false,2024-01-28,,,,,,2024-02-12,59000,USD
OFR-000120-V2,OFR-000120,APP-0001284,REQ-2024-00005,1,2,negotiation_revision,accepted,true,2024-01-29,2024-01-31,,,,,2024-02-12,61000,USD
OFR-000121-V1,OFR-000121,APP-0001285,REQ-2024-00007,1,1,initial,superseded,false,2024-02-05,,,,,,2024-03-04,76500,USD
OFR-000121-V2,OFR-000121,APP-0001285,REQ-2024-00007,1,2,negotiation_revision,declined,true,2024-02-08,,2024-02-09,,,,2024-03-04,80000,USD
OFR-000122-V1,OFR-000122,APP-0001314,REQ-2024-00055,1,1,initial,superseded,false,2024-02-16,,,,,,2024-04-01,99000,USD
OFR-000122-V2,OFR-000122,APP-0001314,REQ-2024-00055,1,2,negotiation_revision,accepted,true,2024-02-17,2024-02-19,,,,,2024-04-01,103000,USD
OFR-000123-V1,OFR-000123,APP-0001317,REQ-2024-00062,1,1,initial,declined,true,2024-02-20,,2024-02-23,,,,2024-03-19,106500,USD
OFR-000124-V1,OFR-000124,APP-0001320,REQ-2024-00062,1,1,initial,superseded,false,2024-02-14,,,,,,2024-03-13,105000,USD
OFR-000124-V2,OFR-000124,APP-0001320,REQ-2024-00062,1,2,negotiation_revision,declined,true,2024-02-17,,2024-02-19,,,,2024-03-13,109500,USD
OFR-000125-V1,OFR-000125,APP-0001329,REQ-2024-00075,1,1,initial,declined,true,2024-01-29,,2024-01-31,,,,2024-02-26,72500,USD
OFR-000126-V1,OFR-000126,APP-0001333,REQ-2024-00079,1,1,initial,accepted,true,2024-02-17,2024-02-21,,,,,2024-04-01,104500,USD
OFR-000127-V1,OFR-000127,APP-0001344,REQ-2024-00102,1,1,initial,superseded,false,2024-02-03,,,,,,2024-03-02,95000,USD
OFR-000127-V2,OFR-000127,APP-0001344,REQ-2024-00102,1,2,negotiation_revision,withdrawn,true,2024-02-05,,,2024-02-06,,,2024-03-02,101000,USD
OFR-000128-V1,OFR-000128,APP-0001349,REQ-2024-00110,1,1,initial,declined,true,2024-02-26,,2024-03-01,,,,2024-03-25,94500,USD
OFR-000129-V1,OFR-000129,APP-0001371,REQ-2024-00133,1,1,initial,accepted,true,2024-02-02,2024-02-07,,,,,2024-03-18,80000,USD
OFR-000130-V1,OFR-000130,APP-0001397,REQ-2024-00158,1,1,initial,superseded,false,2024-02-17,,,,,,2024-03-25,95000,USD
OFR-000130-V2,OFR-000130,APP-0001397,REQ-2024-00158,1,2,negotiation_revision,accepted,true,2024-02-19,2024-02-20,,,,,2024-03-25,102500,USD
OFR-000131-V1,OFR-000131,APP-0001435,REQ-2024-00202,1,1,initial,declined,true,2024-02-02,,2024-02-05,,,,2024-03-01,92000,USD
