application_id,candidate_id,requisition_id,application_date,source_channel,application_status,status_date,current_stage_code,disposition_reason
APP-0000021,CAND-0000021,REQ-2024-00051,2024-01-02,linkedin,rejected,2024-01-04,review,experience_mismatch
APP-0000022,CAND-0000022,REQ-2024-00002,2024-01-03,career_site,rejected,2024-01-18,assessment,assessment_failed
APP-0000023,CAND-0000023,REQ-2024-00002,2024-01-03,sourced,withdrawn,2024-01-20,review,no_response
APP-0000024,CAND-0000024,REQ-2024-00005,2024-01-03,job_board,rejected,2024-01-12,assessment,assessment_failed
APP-0000025,CAND-0000025,REQ-2024-00012,2024-01-03,linkedin,rejected,2024-02-16,interview,interview_feedback
APP-0000026,CAND-0000026,REQ-2024-00012,2024-01-03,referral,rejected,2024-01-16,assessment,assessment_failed
APP-0000027,CAND-0000027,REQ-2024-00012,2024-01-03,linkedin,withdrawn,2024-01-13,screen,compensation_expectations
APP-0000028,CAND-0000028,REQ-2024-00014,2024-01-03,sourced,withdrawn,2024-01-06,review,location
APP-0000029,CAND-0000029,REQ-2024-00014,2024-01-03,job_board,rejected,2024-01-21,assessment,assessment_failed
APP-0000030,CAND-0000030,REQ-2024-00019,2024-01-03,agency,withdrawn,2024-01-07,review,personal
APP-0000031,CAND-0000031,REQ-2024-00022,2024-01-03,career_site,rejected,2024-01-10,screen,not_qualified
APP-0000032,CAND-0000032,REQ-2024-00026,2024-01-03,linkedin,rejected,2024-01-04,review,not_qualified
APP-0000033,CAND-0000033,REQ-2024-00027,2024-01-03,career_site,withdrawn,2024-01-07,review,no_response
APP-0000034,CAND-0000034,REQ-2024-00034,2024-01-03,linkedin,rejected,2024-01-13,assessment,assessment_failed
APP-0000035,CAND-0000035,REQ-2024-00034,2024-01-03,career_site,rejected,2024-01-05,review,not_qualified
APP-0000036,CAND-0000036,REQ-2024-00034,2024-01-03,linkedin,offer_accepted,2024-02-11,offer,
APP-0000037,CAND-0000037,REQ-2024-00037,2024-01-03,career_site,rejected,2024-01-05,review,not_qualified
APP-0000038,CAND-0000038,REQ-2024-00044,2024-01-03,referral,rejected,2024-01-12,screen,not_qualified
APP-0000039,CAND-0000039,REQ-2024-00044,2024-01-03,job_board,offer_declined,2024-01-25,offer,
APP-0000040,CAND-0000040,REQ-2024-00044,2024-01-03,career_site,rejected,2024-01-05,review,not_qualified
APP-0000041,CAND-0000041,REQ-2024-00053,2024-01-03,career_site,rejected,2024-01-05,review,not_qualified
APP-0000042,CAND-0000042,REQ-2024-00054,2024-01-03,job_board,rejected,2024-01-04,review,experience_mismatch
APP-0000043,CAND-0000043,REQ-2024-00054,2024-01-03,job_board,rejected,2024-01-22,interview,interview_feedback
APP-0000044,CAND-0000044,REQ-2024-00005,2024-01-04,job_board,rejected,2024-01-07,review,not_qualified
APP-0000045,CAND-0000045,REQ-2024-00005,2024-01-04,agency,rejected,2024-01-24,interview,interview_feedback
APP-0000046,CAND-0000046,REQ-2024-00008,2024-01-04,career_site,rejected,2024-01-09,review,experience_mismatch
APP-0000047,CAND-0000047,REQ-2024-00008,2024-01-04,sourced,offer_accepted,2024-01-18,offer,
APP-0000048,CAND-0000048,REQ-2024-00010,2024-01-04,job_board,rejected,2024-02-05,interview,interview_feedback
APP-0000049,CAND-0000049,REQ-2024-00010,2024-01-04,job_board,rejected,2024-01-10,screen,experience_mismatch
APP-0000050,CAND-0000050,REQ-2024-00012,2024-01-04,career_site,rejected,2024-01-07,review,experience_mismatch
APP-0000051,CAND-0000051,REQ-2024-00012,2024-01-04,career_site,rejected,2024-01-06,review,not_qualified
APP-0000052,CAND-0000052,REQ-2024-00018,2024-01-04,job_board,rejected,2024-01-07,review,experience_mismatch
APP-0000053,CAND-0000053,REQ-2024-00019,2024-01-04,career_site,rejected,2024-01-12,review,experience_mismatch
APP-0000054,CAND-0000054,REQ-2024-00019,2024-01-04,career_site,rejected,2024-01-25,interview,interview_feedback
APP-0000055,CAND-0000055,REQ-2024-00020,2024-01-04,referral,withdrawn,2024-01-25,assessment,no_response
APP-0000056,CAND-0000056,REQ-2024-00021,2024-01-04,job_board,rejected,2024-01-20,assessment,assessment_failed
APP-0000057,CAND-0000057,REQ-2024-00024,2024-01-04,career_site,rejected,2024-01-06,review,experience_mismatch
APP-0000058,CAND-0000058,REQ-2024-00025,2024-01-04,career_site,offer_declined,2024-02-03,offer,
APP-0000059,CAND-0000059,REQ-2024-00025,2024-01-04,linkedin,rejected,2024-01-10,review,experience_mismatch
APP-0000060,CAND-0000060,REQ-2024-00025,2024-01-04,career_site,rejected,2024-01-24,interview,interview_feedback
APP-0000061,CAND-0000061,REQ-2024-00025,2024-01-04,career_site,offer_accepted,2024-01-18,offer,
APP-0000062,CAND-0000062,REQ-2024-00026,2024-01-04,agency,rejected,2024-01-10,review,not_qualified
APP-0000063,CAND-0000063,REQ-2024-00026,2024-01-04,job_board,rejected,2024-01-07,review,not_qualified
APP-0000064,CAND-0000064,REQ-2024-00028,2024-01-04,job_board,rejected,2024-01-11,review,not_qualified
APP-0000065,CAND-0000065,REQ-2024-00029,2024-01-04,career_site,rejected,2024-01-09,review,experience_mismatch
APP-0000066,CAND-0000066,REQ-2024-00034,2024-01-04,career_site,rejected,2024-01-08,review,experience_mismatch
APP-0000067,CAND-0000067,REQ-2024-00034,2024-01-04,linkedin,rejected,2024-01-15,assessment,assessment_failed
APP-0000068,CAND-0000068,REQ-2024-00034,2024-01-04,internal,rejected,2024-01-06,review,experience_mismatch
APP-0000069,CAND-0000069,REQ-2024-00034,2024-01-04,linkedin,rejected,2024-01-11,screen,experience_mismatch
APP-0000070,CAND-0000070,REQ-2024-00034,2024-01-04,job_board,rejected,2024-01-12,screen,not_qualified
APP-0000071,CAND-0000071,REQ-2024-00034,2024-01-04,career_site,rejected,2024-01-11,review,experience_mismatch
APP-0000072,CAND-0000072,REQ-2024-00035,2024-01-04,agency,rejected,2024-01-07,review,not_qualified
APP-0000073,CAND-0000073,REQ-2024-00035,2024-01-04,career_site,offer_declined,2024-02-02,offer,
APP-0000074,CAND-0000074,REQ-2024-00037,2024-01-04,career_site,withdrawn,2024-01-17,interview,location
APP-0000075,CAND-0000075,REQ-2024-00037,2024-01-04,agency,candidate_renege,2024-02-11,offer,
APP-0000076,CAND-0000076,REQ-2024-00040,2024-01-04,career_site,rejected,2024-01-06,review,experience_mismatch
APP-0000077,CAND-0000077,REQ-2024-00042,2024-01-04,referral,rejected,2024-01-09,screen,not_qualified
APP-0000078,CAND-0000078,REQ-2024-00044,2024-01-04,linkedin,rejected,2024-01-12,screen,experience_mismatch
APP-0000079,CAND-0000079,REQ-2024-00044,2024-01-04,job_board,offer_accepted,2024-01-20,offer,
APP-0000080,CAND-0000080,REQ-2024-00046,2024-01-04,job_board,rejected,2024-01-09,review,not_qualified
APP-0000081,CAND-0000081,REQ-2024-00047,2024-01-04,career_site,rejected,2024-02-09,interview,interview_feedback
APP-0000082,CAND-0000082,REQ-2024-00052,2024-01-04,sourced,rejected,2024-01-05,review,experience_mismatch
APP-0000083,CAND-0000083,REQ-2024-00061,2024-01-04,linkedin,rejected,2024-01-13,review,not_qualified
APP-0000084,CAND-0000084,REQ-2024-00064,2024-01-04,sourced,rejected,2024-01-08,screen,not_qualified
APP-0000085,CAND-0000085,REQ-2024-00064,2024-01-04,job_board,offer_accepted,2024-01-30,offer,
APP-0000086,CAND-0000086,REQ-2024-00066,2024-01-04,referral,rejected,2024-01-09,review,experience_mismatch
APP-0000087,CAND-0000087,REQ-2024-00068,2024-01-04,linkedin,rejected,2024-01-08,review,experience_mismatch
APP-0000088,CAND-0000088,REQ-2024-00080,2024-01-04,agency,rejected,2024-01-17,assessment,assessment_failed
APP-0000089,CAND-0000089,REQ-2024-00081,2024-01-04,referral,rejected,2024-01-10,screen,not_qualified
APP-0000090,CAND-0000090,REQ-2024-00001,2024-01-05,job_board,rejected,2024-01-13,screen,experience_mismatch
APP-0000091,CAND-0000091,REQ-2024-00001,2024-01-05,referral,rejected,2024-01-09,review,not_qualified
APP-0000092,CAND-0000092,REQ-2024-00002,2024-01-05,career_site,rejected,2024-01-20,assessment,assessment_failed
APP-0000093,CAND-0000093,REQ-2024-00002,2024-01-05,career_site,rejected,2024-01-09,review,not_qualified
APP-0000094,CAND-0000094,REQ-2024-00005,2024-01-05,career_site,withdrawn,2024-01-09,review,personal
APP-0000095,CAND-0000095,REQ-2024-00009,2024-01-05,job_board,rejected,2024-01-10,screen,not_qualified
APP-0000096,CAND-0000096,REQ-2024-00012,2024-01-05,linkedin,rejected,2024-01-07,review,not_qualified
APP-0000097,CAND-0000097,REQ-2024-00018,2024-01-05,career_site,rejected,2024-01-14,screen,experience_mismatch
APP-0000098,CAND-0000098,REQ-2024-00019,2024-01-05,referral,rejected,2024-01-09,review,not_qualified
APP-0000099,CAND-0000099,REQ-2024-00019,2024-01-05,career_site,withdrawn,2024-01-10,review,no_response
APP-0000100,CAND-0000100,REQ-2024-00019,2024-01-05,linkedin,rejected,2024-01-12,review,experience_mismatch
APP-0000101,CAND-0000101,REQ-2024-00019,2024-01-05,job_board,rejected,2024-01-07,review,not_qualified
APP-0000102,CAND-0000102,REQ-2024-00021,2024-01-05,job_board,rejected,2024-01-15,screen,experience_mismatch
APP-0000103,CAND-0000103,REQ-2024-00023,2024-01-05,linkedin,rejected,2024-01-07,review,not_qualified
APP-0000104,CAND-0000104,REQ-2024-00024,2024-01-05,career_site,rejected,2024-01-10,review,experience_mismatch
APP-0000105,CAND-0000105,REQ-2024-00025,2024-01-05,job_board,rejected,2024-01-09,review,experience_mismatch
APP-0000106,CAND-0000106,REQ-2024-00025,2024-01-05,job_board,rejected,2024-01-18,assessment,assessment_failed
APP-0000107,CAND-0000107,REQ-2024-00026,2024-01-05,career_site,withdrawn,2024-01-09,screen,location
APP-0000108,CAND-0000108,REQ-2024-00026,2024-01-05,sourced,rejected,2024-01-15,screen,not_qualified
APP-0000109,CAND-0000109,REQ-2024-00027,2024-01-05,job_board,rejected,2024-01-12,review,experience_mismatch
APP-0000110,CAND-0000110,REQ-2024-00029,2024-01-05,linkedin,rejected,2024-01-11,screen,not_qualified
APP-0000111,CAND-0000111,REQ-2024-00029,2024-01-05,job_board,offer_accepted,2024-02-04,offer,
APP-0000112,CAND-0000112,REQ-2024-00034,2024-01-05,career_site,withdrawn,2024-01-07,review,personal
APP-0000113,CAND-0000113,REQ-2024-00034,2024-01-05,career_site,rejected,2024-01-07,review,not_qualified
APP-0000114,CAND-0000114,REQ-2024-00034,2024-01-05,internal,rejected,2024-01-10,review,experience_mismatch
APP-0000115,CAND-0000115,REQ-2024-00034,2024-01-05,linkedin,rejected,2024-01-15,screen,experience_mismatch
APP-0000116,CAND-0000116,REQ-2024-00034,2024-01-05,job_board,rejected,2024-01-28,interview,interview_feedback
APP-0000117,CAND-0000117,REQ-2024-00034,2024-01-05,job_board,withdrawn,2024-01-17,assessment,accepted_other_offer
APP-0000118,CAND-0000118,REQ-2024-00034,2024-01-05,career_site,rejected,2024-01-09,review,experience_mismatch
APP-0000119,CAND-0000119,REQ-2024-00035,2024-01-05,sourced,withdrawn,2024-01-18,screen,compensation_expectations
APP-0000120,CAND-0000120,REQ-2024-00035,2024-01-05,sourced,withdrawn,2024-01-10,review,no_response
APP-0000121,CAND-0000121,REQ-2024-00035,2024-01-05,job_board,withdrawn,2024-01-10,review,location
APP-0000122,CAND-0000122,REQ-2024-00035,2024-01-05,sourced,rejected,2024-01-08,review,experience_mismatch
APP-0000123,CAND-0000123,REQ-2024-00037,2024-01-05,career_site,rejected,2024-01-15,screen,not_qualified
APP-0000124,CAND-0000124,REQ-2024-00037,2024-01-05,linkedin,offer_declined,2024-01-27,offer,
APP-0000125,CAND-0000125,REQ-2024-00037,2024-01-05,career_site,rejected,2024-01-08,review,not_qualified
APP-0000126,CAND-0000126,REQ-2024-00038,2024-01-05,job_board,withdrawn,2024-01-08,review,location
APP-0000127,CAND-0000127,REQ-2024-00039,2024-01-05,job_board,rejected,2024-01-07,review,experience_mismatch
APP-0000128,CAND-0000128,REQ-2024-00039,2024-01-05,job_board,rejected,2024-01-06,review,experience_mismatch
APP-0000129,CAND-0000129,REQ-2024-00042,2024-01-05,job_board,offer_accepted,2024-01-27,offer,
APP-0000130,CAND-0000130,REQ-2024-00043,2024-01-05,career_site,rejected,2024-03-27,interview,position_filled
APP-0000131,CAND-0000131,REQ-2024-00044,2024-01-05,linkedin,withdrawn,2024-02-01,interview,accepted_other_offer
APP-0000132,CAND-0000132,REQ-2024-00044,2024-01-05,job_board,rejected,2024-01-07,review,experience_mismatch
APP-0000133,CAND-0000133,REQ-2024-00046,2024-01-05,sourced,rejected,2024-01-17,screen,not_qualified
APP-0000134,CAND-0000134,REQ-2024-00049,2024-01-05,job_board,rejected,2024-01-19,review,experience_mismatch
APP-0000135,CAND-0000135,REQ-2024-00049,2024-01-05,linkedin,rejected,2024-01-24,screen,experience_mismatch
APP-0000136,CAND-0000136,REQ-2024-00050,2024-01-05,linkedin,rejected,2024-01-11,review,experience_mismatch
APP-0000137,CAND-0000137,REQ-2024-00051,2024-01-05,career_site,rejected,2024-01-09,review,experience_mismatch
APP-0000138,CAND-0000138,REQ-2024-00052,2024-01-05,linkedin,rejected,2024-01-11,review,experience_mismatch
APP-0000139,CAND-0000139,REQ-2024-00054,2024-01-05,career_site,rejected,2024-01-22,screen,experience_mismatch
APP-0000140,CAND-0000140,REQ-2024-00054,2024-01-05,career_site,rejected,2024-01-18,assessment,assessment_failed
APP-0000141,CAND-0000141,REQ-2024-00054,2024-01-05,internal,offer_accepted,2024-01-27,offer,
APP-0000142,CAND-0000142,REQ-2024-00056,2024-01-05,linkedin,rejected,2024-01-20,assessment,assessment_failed
APP-0000143,CAND-0000143,REQ-2024-00056,2024-01-05,sourced,withdrawn,2024-01-13,assessment,no_response
APP-0000144,CAND-0000144,REQ-2024-00063,2024-01-05,job_board,rejected,2024-02-02,interview,interview_feedback
APP-0000145,CAND-0000145,REQ-2024-00063,2024-01-05,career_site,rejected,2024-01-06,review,experience_mismatch
APP-0000146,CAND-0000146,REQ-2024-00064,2024-01-05,job_board,rejected,2024-01-06,review,experience_mismatch
APP-0000147,CAND-0000147,REQ-2024-00064,2024-01-05,linkedin,rejected,2024-01-15,screen,experience_mismatch
APP-0000148,CAND-0000148,REQ-2024-00065,2024-01-05,career_site,rejected,2024-01-28,assessment,assessment_failed
APP-0000149,CAND-0000149,REQ-2024-00065,2024-01-05,linkedin,withdrawn,2024-01-14,review,location
APP-0000150,CAND-0000150,REQ-2024-00068,2024-01-05,job_board,rejected,2024-01-21,assessment,assessment_failed
APP-0000151,CAND-0000151,REQ-2024-00071,2024-01-05,job_board,rejected,2024-01-26,assessment,assessment_failed
APP-0000152,CAND-0000152,REQ-2024-00071,2024-01-05,career_site,withdrawn,2024-01-15,screen,personal
APP-0000153,CAND-0000153,REQ-2024-00072,2024-01-05,career_site,rejected,2024-01-26,assessment,assessment_failed
APP-0000154,CAND-0000154,REQ-2024-00075,2024-01-05,referral,rejected,2024-01-07,review,experience_mismatch
APP-0000155,CAND-0000155,REQ-2024-00077,2024-01-05,job_board,offer_accepted,2024-01-26,offer,
APP-0000156,CAND-0000156,REQ-2024-00080,2024-01-05,internal,withdrawn,2024-01-11,screen,accepted_other_offer
APP-0000157,CAND-0000157,REQ-2024-00080,2024-01-05,career_site,withdrawn,2024-01-07,review,compensation_expectations
APP-0000158,CAND-0000158,REQ-2024-00081,2024-01-05,linkedin,rejected,2024-01-18,assessment,assessment_failed
APP-0000159,CAND-0000159,REQ-2024-00083,2024-01-05,linkedin,rejected,2024-01-17,screen,not_qualified
APP-0000160,CAND-0000160,REQ-2024-00089,2024-01-05,job_board,rejected,2024-01-22,assessment,assessment_failed
APP-0000161,CAND-0000161,REQ-2024-00091,2024-01-05,referral,rejected,2024-01-08,review,experience_mismatch
APP-0000162,CAND-0000162,REQ-2024-00093,2024-01-05,linkedin,rejected,2024-01-15,screen,experience_mismatch
APP-0000163,CAND-0000163,REQ-2024-00095,2024-01-05,career_site,withdrawn,2024-01-10,review,personal
APP-0000164,CAND-0000164,REQ-2024-00001,2024-01-06,linkedin,rejected,2024-01-09,review,not_qualified
APP-0000165,CAND-0000165,REQ-2024-00002,2024-01-06,job_board,rejected,2024-01-18,screen,experience_mismatch
APP-0000166,CAND-0000166,REQ-2024-00002,2024-01-06,internal,withdrawn,2024-01-11,review,accepted_other_offer
APP-0000167,CAND-0000167,REQ-2024-00003,2024-01-06,career_site,withdrawn,2024-01-18,review,compensation_expectations
APP-0000168,CAND-0000168,REQ-2024-00006,2024-01-06,referral,rejected,2024-01-08,review,not_qualified
APP-0000169,CAND-0000169,REQ-2024-00006,2024-01-06,linkedin,withdrawn,2024-01-15,screen,no_response
APP-0000170,CAND-0000170,REQ-2024-00009,2024-01-06,linkedin,withdrawn,2024-01-11,review,personal
APP-0000171,CAND-0000171,REQ-2024-00011,2024-01-06,referral,withdrawn,2024-01-16,screen,location
APP-0000172,CAND-0000172,REQ-2024-00012,2024-01-06,internal,rejected,2024-01-22,assessment,assessment_failed
APP-0000173,CAND-0000173,REQ-2024-00012,2024-01-06,sourced,withdrawn,2024-01-10,review,accepted_other_offer
APP-0000174,CAND-0000174,REQ-2024-00012,2024-01-06,job_board,withdrawn,2024-01-10,review,location
APP-0000175,CAND-0000175,REQ-2024-00012,2024-01-06,job_board,rejected,2024-01-10,review,experience_mismatch
APP-0000176,CAND-0000176,REQ-2024-00012,2024-01-06,agency,rejected,2024-01-10,review,not_qualified
APP-0000177,CAND-0000177,REQ-2024-00012,2024-01-06,linkedin,withdrawn,2024-01-15,screen,no_response
APP-0000178,CAND-0000178,REQ-2024-00012,2024-01-06,career_site,rejected,2024-01-11,screen,not_qualified
APP-0000179,CAND-0000179,REQ-2024-00013,2024-01-06,career_site,rejected,2024-01-09,review,experience_mismatch
APP-0000180,CAND-0000180,REQ-2024-00016,2024-01-06,linkedin,rejected,2024-01-11,review,experience_mismatch
APP-0000181,CAND-0000181,REQ-2024-00019,2024-01-06,job_board,rejected,2024-01-16,review,experience_mismatch
APP-0000182,CAND-0000182,REQ-2024-00019,2024-01-06,career_site,rejected,2024-01-13,review,experience_mismatch
APP-0000183,CAND-0000183,REQ-2024-00019,2024-01-06,career_site,rejected,2024-01-18,assessment,assessment_failed
APP-0000184,CAND-0000184,REQ-2024-00019,2024-01-06,career_site,rejected,2024-01-09,review,not_qualified
APP-0000185,CAND-0000185,REQ-2024-00019,2024-01-06,referral,offer_accepted,2024-01-19,offer,
APP-0000186,CAND-0000186,REQ-2024-00020,2024-01-06,career_site,rejected,2024-02-24,interview,interview_feedback
APP-0000187,CAND-0000187,REQ-2024-00023,2024-01-06,agency,rejected,2024-01-16,screen,not_qualified
APP-0000188,CAND-0000188,REQ-2024-00023,2024-01-06,internal,rejected,2024-01-08,review,not_qualified
APP-0000189,CAND-0000189,REQ-2024-00023,2024-01-06,sourced,offer_accepted,2024-01-20,offer,
APP-0000190,CAND-0000190,REQ-2024-00025,2024-01-06,sourced,rejected,2024-01-10,review,experience_mismatch
APP-0000191,CAND-0000191,REQ-2024-00028,2024-01-06,job_board,rejected,2024-01-20,assessment,assessment_failed
APP-0000192,CAND-0000192,REQ-2024-00029,2024-01-06,linkedin,rejected,2024-01-17,screen,experience_mismatch
APP-0000193,CAND-0000193,REQ-2024-00029,2024-01-06,job_board,rejected,2024-01-13,assessment,assessment_failed
APP-0000194,CAND-0000194,REQ-2024-00030,2024-01-06,internal,rejected,2024-01-27,interview,interview_feedback
APP-0000195,CAND-0000195,REQ-2024-00031,2024-01-06,career_site,offer_accepted,2024-01-23,offer,
APP-0000196,CAND-0000196,REQ-2024-00034,2024-01-06,career_site,rejected,2024-01-09,review,experience_mismatch
APP-0000197,CAND-0000197,REQ-2024-00034,2024-01-06,referral,rejected,2024-01-13,screen,not_qualified
APP-0000198,CAND-0000198,REQ-2024-00034,2024-01-06,linkedin,rejected,2024-01-18,assessment,assessment_failed
APP-0000199,CAND-0000199,REQ-2024-00035,2024-01-06,job_board,withdrawn,2024-01-19,interview,location
APP-0000200,CAND-0000200,REQ-2024-00035,2024-01-06,career_site,rejected,2024-01-08,review,not_qualified
APP-0000201,CAND-0000201,REQ-2024-00035,2024-01-06,job_board,rejected,2024-01-31,interview,interview_feedback
APP-0000202,CAND-0000202,REQ-2024-00035,2024-01-06,career_site,rejected,2024-01-19,assessment,assessment_failed
APP-0000203,CAND-0000203,REQ-2024-00035,2024-01-06,career_site,withdrawn,2024-01-12,screen,compensation_expectations
APP-0000204,CAND-0000204,REQ-2024-00035,2024-01-06,sourced,withdrawn,2024-01-20,assessment,location
APP-0000205,CAND-0000205,REQ-2024-00036,2024-01-06,linkedin,rejected,2024-01-09,review,experience_mismatch
APP-0000206,CAND-0000206,REQ-2024-00037,2024-01-06,career_site,rejected,2024-01-08,review,experience_mismatch
APP-0000207,CAND-0000207,REQ-2024-00037,2024-01-06,linkedin,rejected,2024-01-11,review,experience_mismatch
APP-0000208,CAND-0000208,REQ-2024-00039,2024-01-06,career_site,rejected,2024-01-12,screen,not_qualified
APP-0000209,CAND-0000209,REQ-2024-00041,2024-01-06,career_site,rejected,2024-01-08,review,experience_mismatch
APP-0000210,CAND-0000210,REQ-2024-00042,2024-01-06,career_site,rejected,2024-01-16,screen,experience_mismatch
APP-0000211,CAND-0000211,REQ-2024-00046,2024-01-06,career_site,rejected,2024-01-12,screen,not_qualified
APP-0000212,CAND-0000212,REQ-2024-00047,2024-01-06,agency,rejected,2024-01-15,screen,experience_mismatch
APP-0000213,CAND-0000213,REQ-2024-00048,2024-01-06,linkedin,rejected,2024-01-12,review,not_qualified
APP-0000214,CAND-0000214,REQ-2024-00051,2024-01-06,linkedin,rejected,2024-01-12,review,not_qualified
APP-0000215,CAND-0000215,REQ-2024-00054,2024-01-06,sourced,rejected,2024-01-21,assessment,assessment_failed
APP-0000216,CAND-0000216,REQ-2024-00054,2024-01-06,job_board,rejected,2024-01-07,review,experience_mismatch
APP-0000217,CAND-0000217,REQ-2024-00055,2024-01-06,career_site,rejected,2024-01-08,review,not_qualified
APP-0000218,CAND-0000218,REQ-2024-00055,2024-01-06,sourced,offer_accepted,2024-02-12,offer,
APP-0000219,CAND-0000219,REQ-2024-00057,2024-01-06,internal,rejected,2024-01-09,review,not_qualified
APP-0000220,CAND-0000220,REQ-2024-00060,2024-01-06,job_board,rejected,2024-01-08,review,experience_mismatch
APP-0000221,CAND-0000221,REQ-2024-00062,2024-01-06,internal,rejected,2024-01-25,screen,experience_mismatch
APP-0000222,CAND-0000222,REQ-2024-00062,2024-01-06,career_site,rejected,2024-01-24,assessment,assessment_failed
APP-0000223,CAND-0000223,REQ-2024-00064,2024-01-06,linkedin,rejected,2024-01-18,assessment,assessment_failed
APP-0000224,CAND-0000224,REQ-2024-00066,2024-01-06,sourced,rejected,2024-01-08,review,not_qualified
APP-0000225,CAND-0000225,REQ-2024-00067,2024-01-06,job_board,rejected,2024-01-07,review,experience_mismatch
APP-0000226,CAND-0000226,REQ-2024-00075,2024-01-06,referral,rejected,2024-01-31,interview,interview_feedback
APP-0000227,CAND-0000227,REQ-2024-00079,2024-01-06,referral,offer_accepted,2024-02-13,offer,
APP-0000228,CAND-0000228,REQ-2024-00080,2024-01-06,career_site,rejected,2024-01-09,review,not_qualified
APP-0000229,CAND-0000229,REQ-2024-00080,2024-01-06,sourced,withdrawn,2024-01-09,review,personal
APP-0000230,CAND-0000230,REQ-2024-00081,2024-01-06,internal,rejected,2024-01-24,interview,interview_feedback
APP-0000231,CAND-0000231,REQ-2024-00081,2024-01-06,linkedin,withdrawn,2024-01-07,review,accepted_other_offer
APP-0000232,CAND-0000232,REQ-2024-00089,2024-01-06,job_board,rejected,2024-02-12,assessment,position_filled
APP-0000233,CAND-0000233,REQ-2024-00089,2024-01-06,linkedin,rejected,2024-01-09,review,not_qualified
APP-0000234,CAND-0000234,REQ-2024-00095,2024-01-06,internal,rejected,2024-01-15,screen,not_qualified
APP-0000235,CAND-0000235,REQ-2024-00097,2024-01-06,linkedin,rejected,2024-01-17,screen,not_qualified
APP-0000236,CAND-0000236,REQ-2024-00098,2024-01-06,job_board,rejected,2024-01-09,review,not_qualified
APP-0000237,CAND-0000237,REQ-2024-00109,2024-01-06,referral,offer_accepted,2024-01-31,offer,
APP-0000238,CAND-0000238,REQ-2024-00115,2024-01-06,job_board,rejected,2024-01-29,assessment,assessment_failed
APP-0000239,CAND-0000239,REQ-2024-00001,2024-01-07,job_board,rejected,2024-01-18,screen,not_qualified
APP-0000240,CAND-0000240,REQ-2024-00002,2024-01-07,referral,withdrawn,2024-01-14,review,location
APP-0000241,CAND-0000241,REQ-2024-00002,2024-01-07,internal,withdrawn,2024-01-21,screen,no_response
APP-0000242,CAND-0000242,REQ-2024-00002,2024-01-07,referral,withdrawn,2024-01-15,review,no_response
APP-0000243,CAND-0000243,REQ-2024-00004,2024-01-07,referral,withdrawn,2024-01-18,screen,location
APP-0000244,CAND-0000244,REQ-2024-00004,2024-01-07,sourced,rejected,2024-01-08,review,not_qualified
APP-0000245,CAND-0000245,REQ-2024-00006,2024-01-07,job_board,withdrawn,2024-02-01,interview,accepted_other_offer
APP-0000246,CAND-0000246,REQ-2024-00006,2024-01-07,job_board,rejected,2024-01-20,assessment,assessment_failed
