application_id,candidate_id,requisition_id,application_date,source_channel,application_status_current,current_stage_code,rejected_date,withdrawal_date,disposition_reason,updated_at,extracted_at
APP-0000020,CAND-0000020,REQ-2024-00002,2024-01-20,career_site,rejected,review,2024-01-22,,experience_mismatch,2024-01-22T10:40:47Z,2026-05-31T23:59:59Z
APP-0000021,CAND-0000021,REQ-2024-00002,2024-01-20,career_site,rejected,interview,2024-02-07,,interview_feedback,2024-02-07T11:07:37Z,2026-05-31T23:59:59Z
APP-0000022,CAND-0000022,REQ-2024-00002,2024-01-20,job_board,withdrawn,review,,2024-01-23,accepted_other_offer,2024-01-23T12:52:19Z,2026-05-31T23:59:59Z
APP-0000023,CAND-0000023,REQ-2024-00002,2024-01-20,job_board,rejected,review,2024-01-24,,experience_mismatch,2024-01-24T12:21:41Z,2026-05-31T23:59:59Z
APP-0000024,CAND-0000024,REQ-2024-00002,2024-01-21,job_board,withdrawn,assessment,,2024-02-09,no_response,2024-02-09T12:38:14Z,2026-05-31T23:59:59Z
APP-0000025,CAND-0000025,REQ-2024-00002,2024-01-21,job_board,rejected,screen,2024-01-29,,not_qualified,2024-01-29T15:50:56Z,2026-05-31T23:59:59Z
APP-0000026,CAND-0000026,REQ-2024-00002,2024-01-21,job_board,rejected,screen,2024-01-28,,experience_mismatch,2024-01-28T08:08:58Z,2026-05-31T23:59:59Z
APP-0000027,CAND-0000027,REQ-2024-00002,2024-01-21,job_board,rejected,review,2024-02-02,,experience_mismatch,2024-02-02T11:01:32Z,2026-05-31T23:59:59Z
APP-0000028,CAND-0000028,REQ-2024-00003,2024-01-21,referral,rejected,review,2024-01-25,,experience_mismatch,2024-01-25T08:50:37Z,2026-05-31T23:59:59Z
APP-0000029,CAND-0000029,REQ-2024-00001,2024-01-22,career_site,rejected,review,2024-01-29,,not_qualified,2024-01-29T12:55:39Z,2026-05-31T23:59:59Z
APP-0000030,CAND-0000030,REQ-2024-00002,2024-01-22,job_board,started,offer,,,,2024-03-04T12:28:30Z,2026-05-31T23:59:59Z
APP-0000031,CAND-0000031,REQ-2024-00001,2024-01-23,linkedin,rejected,review,2024-01-27,,experience_mismatch,2024-01-27T16:39:20Z,2026-05-31T23:59:59Z
APP-0000032,CAND-0000032,REQ-2024-00002,2024-01-23,career_site,rejected,review,2024-01-25,,not_qualified,2024-01-25T17:34:58Z,2026-05-31T23:59:59Z
APP-0000033,CAND-0000033,REQ-2024-00002,2024-01-24,job_board,rejected,screen,2024-01-29,,experience_mismatch,2024-01-29T13:20:20Z,2026-05-31T23:59:59Z
APP-0000034,CAND-0000034,REQ-2024-00002,2024-01-24,sourced,started,offer,,,,2024-03-11T08:14:47Z,2026-05-31T23:59:59Z
APP-0000035,CAND-0000035,REQ-2024-00003,2024-01-24,job_board,rejected,review,2024-01-27,,not_qualified,2024-01-27T09:01:21Z,2026-05-31T23:59:59Z
APP-0000036,CAND-0000036,REQ-2024-00002,2024-01-25,referral,rejected,review,2024-01-30,,experience_mismatch,2024-01-30T13:12:59Z,2026-05-31T23:59:59Z
APP-0000037,CAND-0000037,REQ-2024-00002,2024-01-26,job_board,rejected,review,2024-01-28,,experience_mismatch,2024-01-28T18:11:25Z,2026-05-31T23:59:59Z
APP-0000038,CAND-0000038,REQ-2024-00001,2024-01-27,linkedin,rejected,screen,2024-02-03,,not_qualified,2024-02-03T15:00:44Z,2026-05-31T23:59:59Z
APP-0000039,CAND-0000039,REQ-2024-00001,2024-01-27,linkedin,rejected,review,2024-02-21,,not_qualified,2024-02-21T11:38:50Z,2026-05-31T23:59:59Z
APP-0000040,CAND-0000040,REQ-2024-00001,2024-01-27,internal,rejected,interview,2024-02-19,,interview_feedback,2024-02-19T11:21:13Z,2026-05-31T23:59:59Z
APP-0000041,CAND-0000041,REQ-2024-00001,2024-01-27,linkedin,started,offer,,,,2024-03-25T16:05:19Z,2026-05-31T23:59:59Z
APP-0000042,CAND-0000042,REQ-2024-00002,2024-01-27,linkedin,withdrawn,assessment,,2024-02-03,location,2024-02-03T09:09:25Z,2026-05-31T23:59:59Z
APP-0000043,CAND-0000043,REQ-2024-00002,2024-01-28,career_site,rejected,interview,2024-02-18,,position_filled,2024-02-18T14:53:07Z,2026-05-31T23:59:59Z
APP-0000044,CAND-0000044,REQ-2024-00002,2024-01-28,referral,rejected,review,2024-01-29,,experience_mismatch,2024-01-29T18:41:52Z,2026-05-31T23:59:59Z
APP-0000045,CAND-0000045,REQ-2024-00003,2024-01-28,career_site,rejected,review,2024-02-02,,not_qualified,2024-02-02T18:05:26Z,2026-05-31T23:59:59Z
APP-0000046,CAND-0000046,REQ-2024-00002,2024-01-29,career_site,rejected,interview,2024-02-18,,position_filled,2024-02-18T08:15:24Z,2026-05-31T23:59:59Z
APP-0000047,CAND-0000047,REQ-2024-00001,2024-01-30,sourced,rejected,review,2024-02-08,,not_qualified,2024-02-08T13:28:42Z,2026-05-31T23:59:59Z
APP-0000048,CAND-0000048,REQ-2024-00002,2024-01-30,job_board,rejected,assessment,2024-02-13,,assessment_failed,2024-02-13T18:58:35Z,2026-05-31T23:59:59Z
APP-0000049,CAND-0000049,REQ-2024-00003,2024-01-30,referral,rejected,review,2024-02-02,,experience_mismatch,2024-02-02T08:52:29Z,2026-05-31T23:59:59Z
APP-0000050,CAND-0000050,REQ-2024-00002,2024-02-01,job_board,rejected,review,2024-02-12,,not_qualified,2024-02-12T12:07:04Z,2026-05-31T23:59:59Z
APP-0000051,CAND-0000051,REQ-2024-00003,2024-02-01,internal,rejected,assessment,2024-02-27,,assessment_failed,2024-02-27T14:44:14Z,2026-05-31T23:59:59Z
APP-0000052,CAND-0000052,REQ-2024-00001,2024-02-03,career_site,rejected,review,2024-02-06,,experience_mismatch,2024-02-06T12:11:48Z,2026-05-31T23:59:59Z
APP-0000053,CAND-0000053,REQ-2024-00002,2024-02-06,job_board,withdrawn,screen,,2024-02-18,personal,2024-02-18T11:16:34Z,2026-05-31T23:59:59Z
APP-0000054,CAND-0000054,REQ-2024-00002,2024-02-06,sourced,rejected,screen,2024-02-15,,not_qualified,2024-02-15T19:49:05Z,2026-05-31T23:59:59Z
APP-0000055,CAND-0000055,REQ-2024-00001,2024-02-07,career_site,withdrawn,review,,2024-02-11,no_response,2024-02-11T10:55:35Z,2026-05-31T23:59:59Z
APP-0000056,CAND-0000056,REQ-2024-00002,2024-02-07,job_board,withdrawn,screen,,2024-02-18,location,2024-02-18T17:06:37Z,2026-05-31T23:59:59Z
APP-0000057,CAND-0000057,REQ-2024-00002,2024-02-08,linkedin,rejected,review,2024-02-12,,experience_mismatch,2024-02-12T09:30:51Z,2026-05-31T23:59:59Z
APP-0000058,CAND-0000058,REQ-2024-00002,2024-02-08,agency,withdrawn,screen,,2024-02-18,compensation_expectations,2024-02-18T09:22:34Z,2026-05-31T23:59:59Z
APP-0000059,CAND-0000059,REQ-2024-00003,2024-02-09,job_board,rejected,review,2024-02-16,,not_qualified,2024-02-16T18:42:20Z,2026-05-31T23:59:59Z
APP-0000060,CAND-0000060,REQ-2024-00003,2024-02-10,sourced,rejected,screen,2024-02-25,,experience_mismatch,2024-02-25T13:06:51Z,2026-05-31T23:59:59Z
APP-0000061,CAND-0000061,REQ-2024-00002,2024-02-13,agency,rejected,review,2024-02-18,,position_filled,2024-02-18T15:31:09Z,2026-05-31T23:59:59Z
APP-0000062,CAND-0000062,REQ-2024-00004,2024-02-14,linkedin,withdrawn,assessment,,2024-02-23,compensation_expectations,2024-02-23T16:44:55Z,2026-05-31T23:59:59Z
APP-0000063,CAND-0000063,REQ-2024-00004,2024-02-16,job_board,rejected,screen,2024-02-24,,experience_mismatch,2024-02-24T14:16:49Z,2026-05-31T23:59:59Z
APP-0000064,CAND-0000064,REQ-2024-00004,2024-02-16,career_site,rejected,review,2024-02-18,,experience_mismatch,2024-02-18T08:43:30Z,2026-05-31T23:59:59Z
APP-0000065,CAND-0000065,REQ-2024-00004,2024-02-17,job_board,withdrawn,review,,2024-02-19,compensation_expectations,2024-02-19T13:13:08Z,2026-05-31T23:59:59Z
APP-0000066,CAND-0000066,REQ-2024-00004,2024-02-18,career_site,rejected,screen,2024-02-23,,not_qualified,2024-02-23T17:45:02Z,2026-05-31T23:59:59Z
APP-0000067,CAND-0000067,REQ-2024-00004,2024-02-24,job_board,rejected,screen,2024-02-28,,not_qualified,2024-02-28T19:20:40Z,2026-05-31T23:59:59Z
APP-0000068,CAND-0000068,REQ-2024-00004,2024-02-26,linkedin,candidate_renege,offer,,,,2024-04-04T10:44:41Z,2026-05-31T23:59:59Z
APP-0000069,CAND-0000069,REQ-2024-00004,2024-03-01,career_site,rejected,assessment,2024-03-09,,assessment_failed,2024-03-09T19:22:55Z,2026-05-31T23:59:59Z
APP-0000070,CAND-0000070,REQ-2024-00004,2024-03-05,career_site,rejected,review,2024-03-09,,not_qualified,2024-03-09T11:29:46Z,2026-05-31T23:59:59Z
APP-0000071,CAND-0000071,REQ-2024-00006,2024-03-08,referral,rejected,interview,2024-04-18,,interview_feedback,2024-04-18T17:38:04Z,2026-05-31T23:59:59Z
APP-0000072,CAND-0000072,REQ-2024-00004,2024-03-09,career_site,withdrawn,review,,2024-03-14,compensation_expectations,2024-03-14T12:52:22Z,2026-05-31T23:59:59Z
APP-0000073,CAND-0000073,REQ-2024-00004,2024-03-10,sourced,rejected,interview,2024-03-27,,position_filled,2024-03-27T18:40:16Z,2026-05-31T23:59:59Z
APP-0000074,CAND-0000074,REQ-2024-00004,2024-03-10,job_board,rejected,review,2024-03-12,,not_qualified,2024-03-12T19:27:47Z,2026-05-31T23:59:59Z
APP-0000075,CAND-0000075,REQ-2024-00005,2024-03-10,linkedin,withdrawn,screen,,2024-03-17,compensation_expectations,2024-03-17T09:31:17Z,2026-05-31T23:59:59Z
APP-0000076,CAND-0000076,REQ-2024-00006,2024-03-10,career_site,withdrawn,review,,2024-03-24,accepted_other_offer,2024-03-24T19:41:19Z,2026-05-31T23:59:59Z
APP-0000077,CAND-0000077,REQ-2024-00004,2024-03-15,career_site,rejected,screen,2024-03-27,,position_filled,2024-03-27T11:22:49Z,2026-05-31T23:59:59Z
APP-0000078,CAND-0000078,REQ-2024-00005,2024-03-15,job_board,rejected,review,2024-03-17,,not_qualified,2024-03-17T08:02:32Z,2026-05-31T23:59:59Z
APP-0000079,CAND-0000079,REQ-2024-00003,2024-03-16,job_board,rejected,review,2024-03-19,,experience_mismatch,2024-03-19T09:13:50Z,2026-05-31T23:59:59Z
APP-0000080,CAND-0000080,REQ-2024-00005,2024-03-16,linkedin,rejected,assessment,2024-04-01,,assessment_failed,2024-04-01T17:09:57Z,2026-05-31T23:59:59Z
APP-0000081,CAND-0000081,REQ-2024-00005,2024-03-18,career_site,rejected,screen,2024-03-25,,experience_mismatch,2024-03-25T11:37:23Z,2026-05-31T23:59:59Z
APP-0000082,CAND-0000082,REQ-2024-00006,2024-03-18,career_site,rejected,review,2024-03-20,,experience_mismatch,2024-03-20T16:23:37Z,2026-05-31T23:59:59Z
APP-0000083,CAND-0000083,REQ-2024-00005,2024-03-22,referral,rejected,screen,2024-03-28,,not_qualified,2024-03-28T09:13:03Z,2026-05-31T23:59:59Z
APP-0000084,CAND-0000084,REQ-2024-00005,2024-03-22,career_site,rejected,interview,2024-04-09,,position_filled,2024-04-09T19:16:12Z,2026-05-31T23:59:59Z
APP-0000085,CAND-0000085,REQ-2024-00005,2024-03-23,referral,withdrawn,interview,,2024-04-09,no_response,2024-04-09T13:42:02Z,2026-05-31T23:59:59Z
APP-0000086,CAND-0000086,REQ-2024-00005,2024-03-25,internal,started,offer,,,,2024-04-29T10:34:56Z,2026-05-31T23:59:59Z
APP-0000087,CAND-0000087,REQ-2024-00005,2024-03-27,career_site,withdrawn,review,,2024-03-29,location,2024-03-29T19:56:54Z,2026-05-31T23:59:59Z
APP-0000088,CAND-0000088,REQ-2024-00005,2024-03-28,referral,withdrawn,assessment,,2024-04-03,location,2024-04-03T14:49:59Z,2026-05-31T23:59:59Z
APP-0000089,CAND-0000089,REQ-2024-00006,2024-03-28,linkedin,started,offer,,,,2024-06-03T15:02:25Z,2026-05-31T23:59:59Z
APP-0000090,CAND-0000090,REQ-2024-00006,2024-03-30,agency,rejected,interview,2024-05-03,,interview_feedback,2024-05-03T15:37:08Z,2026-05-31T23:59:59Z
APP-0000091,CAND-0000048,REQ-2024-00005,2024-03-31,agency,rejected,screen,2024-04-09,,position_filled,2024-04-09T19:08:34Z,2026-05-31T23:59:59Z
APP-0000092,CAND-0000091,REQ-2024-00004,2024-04-06,job_board,rejected,interview,2024-04-26,,interview_feedback,2024-04-26T11:38:48Z,2026-05-31T23:59:59Z
APP-0000093,CAND-0000092,REQ-2024-00004,2024-04-11,job_board,rejected,interview,2024-05-04,,interview_feedback,2024-05-04T09:00:14Z,2026-05-31T23:59:59Z
APP-0000094,CAND-0000093,REQ-2024-00004,2024-04-12,referral,rejected,screen,2024-04-20,,not_qualified,2024-04-20T17:15:41Z,2026-05-31T23:59:59Z
APP-0000095,CAND-0000094,REQ-2024-00004,2024-04-14,career_site,rejected,review,2024-04-17,,not_qualified,2024-04-17T16:13:31Z,2026-05-31T23:59:59Z
APP-0000096,CAND-0000095,REQ-2024-00004,2024-04-14,agency,withdrawn,review,,2024-04-16,personal,2024-04-16T10:49:53Z,2026-05-31T23:59:59Z
APP-0000097,CAND-0000096,REQ-2024-00006,2024-04-14,linkedin,rejected,interview,2024-05-05,,position_filled,2024-05-05T08:11:51Z,2026-05-31T23:59:59Z
APP-0000098,CAND-0000097,REQ-2024-00004,2024-04-15,referral,rejected,screen,2024-04-23,,not_qualified,2024-04-23T19:49:42Z,2026-05-31T23:59:59Z
APP-0000099,CAND-0000098,REQ-2024-00004,2024-04-18,linkedin,rejected,review,2024-04-20,,experience_mismatch,2024-04-20T16:17:04Z,2026-05-31T23:59:59Z
APP-0000100,CAND-0000099,REQ-2024-00004,2024-04-18,linkedin,rejected,screen,2024-04-22,,not_qualified,2024-04-22T09:14:02Z,2026-05-31T23:59:59Z
APP-0000101,CAND-0000100,REQ-2024-00004,2024-04-19,linkedin,offer_withdrawn,offer,,,,2024-05-16T16:58:52Z,2026-05-31T23:59:59Z
APP-0000102,CAND-0000101,REQ-2024-00004,2024-04-20,career_site,started,offer,,,,2024-06-10T16:48:54Z,2026-05-31T23:59:59Z
APP-0000103,CAND-0000102,REQ-2024-00006,2024-04-26,linkedin,withdrawn,screen,,2024-05-05,location,2024-05-05T12:51:44Z,2026-05-31T23:59:59Z
APP-0000104,CAND-0000103,REQ-2024-00004,2024-04-27,sourced,rejected,review,2024-04-29,,not_qualified,2024-04-29T13:45:39Z,2026-05-31T23:59:59Z
APP-0000105,CAND-0000104,REQ-2024-00004,2024-04-29,job_board,rejected,screen,2024-05-06,,experience_mismatch,2024-05-06T16:57:57Z,2026-05-31T23:59:59Z
APP-0000106,CAND-0000105,REQ-2024-00004,2024-05-02,career_site,rejected,interview,2024-05-19,,position_filled,2024-05-19T12:41:19Z,2026-05-31T23:59:59Z
APP-0000107,CAND-0000106,REQ-2024-00003,2024-05-09,career_site,started,offer,,,,2024-07-15T08:45:45Z,2026-05-31T23:59:59Z
APP-0000108,CAND-0000107,REQ-2024-00004,2024-05-14,referral,rejected,review,2024-05-17,,not_qualified,2024-05-17T19:14:48Z,2026-05-31T23:59:59Z
APP-0000109,CAND-0000108,REQ-2024-00007,2024-05-15,career_site,rejected,review,2024-05-18,,experience_mismatch,2024-05-18T19:56:46Z,2026-05-31T23:59:59Z
APP-0000110,CAND-0000109,REQ-2024-00007,2024-05-18,job_board,withdrawn,review,,2024-05-25,personal,2024-05-25T18:21:15Z,2026-05-31T23:59:59Z
APP-0000111,CAND-0000110,REQ-2024-00007,2024-05-19,job_board,rejected,assessment,2024-06-04,,assessment_failed,2024-06-04T14:06:05Z,2026-05-31T23:59:59Z
APP-0000112,CAND-0000111,REQ-2024-00007,2024-05-19,job_board,started,offer,,,,2024-07-22T16:51:03Z,2026-05-31T23:59:59Z
APP-0000113,CAND-0000112,REQ-2024-00007,2024-05-20,job_board,rejected,review,2024-05-26,,experience_mismatch,2024-05-26T17:25:53Z,2026-05-31T23:59:59Z
APP-0000114,CAND-0000113,REQ-2024-00007,2024-05-20,career_site,rejected,assessment,2024-06-03,,assessment_failed,2024-06-03T11:20:34Z,2026-05-31T23:59:59Z
APP-0000115,CAND-0000114,REQ-2024-00007,2024-05-21,job_board,rejected,review,2024-05-27,,experience_mismatch,2024-05-27T19:04:52Z,2026-05-31T23:59:59Z
APP-0000116,CAND-0000115,REQ-2024-00003,2024-05-22,job_board,rejected,review,2024-05-24,,experience_mismatch,2024-05-24T19:43:42Z,2026-05-31T23:59:59Z
APP-0000117,CAND-0000116,REQ-2024-00007,2024-05-22,career_site,rejected,screen,2024-06-01,,experience_mismatch,2024-06-01T12:52:08Z,2026-05-31T23:59:59Z
APP-0000118,CAND-0000117,REQ-2024-00007,2024-05-22,job_board,rejected,review,2024-05-27,,not_qualified,2024-05-27T09:49:29Z,2026-05-31T23:59:59Z
APP-0000119,CAND-0000118,REQ-2024-00007,2024-05-23,referral,rejected,assessment,2024-06-02,,assessment_failed,2024-06-02T11:20:31Z,2026-05-31T23:59:59Z
APP-0000120,CAND-0000119,REQ-2024-00007,2024-05-23,job_board,rejected,review,2024-05-26,,not_qualified,2024-05-26T08:38:48Z,2026-05-31T23:59:59Z
APP-0000121,CAND-0000120,REQ-2024-00003,2024-05-24,career_site,rejected,review,2024-06-01,,not_qualified,2024-06-01T09:29:50Z,2026-05-31T23:59:59Z
APP-0000122,CAND-0000121,REQ-2024-00007,2024-05-25,referral,withdrawn,screen,,2024-06-03,personal,2024-06-03T17:29:24Z,2026-05-31T23:59:59Z
APP-0000123,CAND-0000122,REQ-2024-00007,2024-05-27,career_site,rejected,review,2024-05-30,,not_qualified,2024-05-30T09:54:42Z,2026-05-31T23:59:59Z
APP-0000124,CAND-0000123,REQ-2024-00007,2024-05-27,referral,rejected,review,2024-05-30,,experience_mismatch,2024-05-30T08:00:01Z,2026-05-31T23:59:59Z
APP-0000125,CAND-0000124,REQ-2024-00007,2024-05-27,referral,rejected,interview,2024-06-12,,interview_feedback,2024-06-12T18:16:55Z,2026-05-31T23:59:59Z
APP-0000126,CAND-0000125,REQ-2024-00007,2024-05-27,career_site,withdrawn,screen,,2024-06-06,accepted_other_offer,2024-06-06T16:22:05Z,2026-05-31T23:59:59Z
APP-0000127,CAND-0000126,REQ-2024-00007,2024-05-28,linkedin,rejected,screen,2024-06-06,,experience_mismatch,2024-06-06T18:50:35Z,2026-05-31T23:59:59Z
APP-0000128,CAND-0000127,REQ-2024-00007,2024-05-30,job_board,rejected,review,2024-06-03,,not_qualified,2024-06-03T19:02:02Z,2026-05-31T23:59:59Z
APP-0000129,CAND-0000128,REQ-2024-00007,2024-05-31,career_site,rejected,review,2024-06-05,,not_qualified,2024-06-05T13:10:20Z,2026-05-31T23:59:59Z
APP-0000130,CAND-0000129,REQ-2024-00007,2024-05-31,linkedin,rejected,interview,2024-06-18,,interview_feedback,2024-06-18T10:51:05Z,2026-05-31T23:59:59Z
APP-0000131,CAND-0000130,REQ-2024-00007,2024-05-31,internal,rejected,screen,2024-06-03,,not_qualified,2024-06-03T14:37:03Z,2026-05-31T23:59:59Z
APP-0000132,CAND-0000131,REQ-2024-00007,2024-06-01,sourced,rejected,interview,2024-06-23,,interview_feedback,2024-06-23T15:08:37Z,2026-05-31T23:59:59Z
APP-0000133,CAND-0000132,REQ-2024-00007,2024-06-03,sourced,rejected,review,2024-06-11,,experience_mismatch,2024-06-11T17:56:51Z,2026-05-31T23:59:59Z
APP-0000134,CAND-0000133,REQ-2024-00007,2024-06-04,sourced,started,offer,,,,2024-07-29T10:40:00Z,2026-05-31T23:59:59Z
APP-0000135,CAND-0000134,REQ-2024-00007,2024-06-05,career_site,rejected,screen,2024-06-20,,experience_mismatch,2024-06-20T16:23:50Z,2026-05-31T23:59:59Z
APP-0000136,CAND-0000135,REQ-2024-00007,2024-06-06,referral,rejected,review,2024-06-08,,not_qualified,2024-06-08T09:01:32Z,2026-05-31T23:59:59Z
APP-0000137,CAND-0000136,REQ-2024-00007,2024-06-06,career_site,rejected,assessment,2024-06-17,,assessment_failed,2024-06-17T14:24:58Z,2026-05-31T23:59:59Z
APP-0000138,CAND-0000137,REQ-2024-00007,2024-06-07,linkedin,rejected,assessment,2024-06-22,,assessment_failed,2024-06-22T15:14:51Z,2026-05-31T23:59:59Z
APP-0000139,CAND-0000138,REQ-2024-00007,2024-06-08,career_site,withdrawn,assessment,,2024-06-24,no_response,2024-06-24T09:50:53Z,2026-05-31T23:59:59Z
APP-0000140,CAND-0000020,REQ-2024-00007,2024-06-09,linkedin,withdrawn,assessment,,2024-07-04,personal,2024-07-04T10:36:14Z,2026-05-31T23:59:59Z
APP-0000141,CAND-0000139,REQ-2024-00008,2024-06-11,career_site,rejected,interview,2024-07-08,,interview_feedback,2024-07-08T08:16:08Z,2026-05-31T23:59:59Z
APP-0000142,CAND-0000140,REQ-2024-00007,2024-06-13,referral,rejected,assessment,2024-07-04,,assessment_failed,2024-07-04T19:35:14Z,2026-05-31T23:59:59Z
APP-0000143,CAND-0000141,REQ-2024-00008,2024-06-13,referral,withdrawn,review,,2024-06-19,accepted_other_offer,2024-06-19T13:43:00Z,2026-05-31T23:59:59Z
APP-0000144,CAND-0000142,REQ-2024-00008,2024-06-13,referral,started,offer,,,,2024-09-02T19:40:55Z,2026-05-31T23:59:59Z
APP-0000145,CAND-0000143,REQ-2024-00008,2024-06-15,career_site,rejected,review,2024-06-19,,not_qualified,2024-06-19T18:40:17Z,2026-05-31T23:59:59Z
APP-0000146,CAND-0000144,REQ-2024-00007,2024-06-16,job_board,rejected,screen,2024-06-30,,experience_mismatch,2024-06-30T14:37:31Z,2026-05-31T23:59:59Z
APP-0000147,CAND-0000145,REQ-2024-00008,2024-06-17,career_site,rejected,review,2024-06-21,,experience_mismatch,2024-06-21T14:54:53Z,2026-05-31T23:59:59Z
APP-0000148,CAND-0000146,REQ-2024-00008,2024-06-19,linkedin,rejected,screen,2024-06-26,,not_qualified,2024-06-26T12:25:16Z,2026-05-31T23:59:59Z
APP-0000149,CAND-0000147,REQ-2024-00007,2024-06-20,job_board,rejected,screen,2024-07-03,,experience_mismatch,2024-07-03T17:38:02Z,2026-05-31T23:59:59Z
APP-0000150,CAND-0000148,REQ-2024-00008,2024-06-20,job_board,rejected,assessment,2024-07-03,,assessment_failed,2024-07-03T16:18:39Z,2026-05-31T23:59:59Z
APP-0000151,CAND-0000149,REQ-2024-00007,2024-06-21,linkedin,rejected,assessment,2024-07-02,,assessment_failed,2024-07-02T13:58:33Z,2026-05-31T23:59:59Z
APP-0000152,CAND-0000150,REQ-2024-00008,2024-06-22,internal,rejected,review,2024-07-05,,not_qualified,2024-07-05T11:02:11Z,2026-05-31T23:59:59Z
APP-0000153,CAND-0000151,REQ-2024-00008,2024-06-22,referral,rejected,review,2024-06-26,,experience_mismatch,2024-06-26T09:41:57Z,2026-05-31T23:59:59Z
APP-0000154,CAND-0000152,REQ-2024-00008,2024-06-22,agency,rejected,review,2024-06-25,,experience_mismatch,2024-06-25T08:23:34Z,2026-05-31T23:59:59Z
APP-0000155,CAND-0000153,REQ-2024-00007,2024-06-23,referral,withdrawn,screen,,2024-06-26,personal,2024-06-26T11:54:56Z,2026-05-31T23:59:59Z
APP-0000156,CAND-0000154,REQ-2024-00008,2024-06-24,linkedin,rejected,assessment,2024-07-08,,assessment_failed,2024-07-08T18:32:10Z,2026-05-31T23:59:59Z
APP-0000157,CAND-0000155,REQ-2024-00008,2024-06-27,career_site,rejected,interview,2024-08-09,,position_filled,2024-08-09T15:53:32Z,2026-05-31T23:59:59Z
APP-0000158,CAND-0000156,REQ-2024-00008,2024-06-30,career_site,rejected,review,2024-07-02,,experience_mismatch,2024-07-02T18:07:41Z,2026-05-31T23:59:59Z
APP-0000159,CAND-0000157,REQ-2024-00008,2024-07-01,job_board,rejected,interview,2024-08-09,,position_filled,2024-08-09T12:09:31Z,2026-05-31T23:59:59Z
APP-0000160,CAND-0000158,REQ-2024-00008,2024-07-02,linkedin,rejected,review,2024-07-10,,not_qualified,2024-07-10T11:48:44Z,2026-05-31T23:59:59Z
